pair_id,type,a_id,a_name,b_id,b_name,same_probability,part_of_probability,tier,survivor_suggestion,reasons,a_desc_excerpt,b_desc_excerpt
concept_pithanon_8f3a6d2c__concept_pithanotes_7v2w4y10,concept,concept_pithanon_8f3a6d2c,pithanon (τὸ πιθανόν),concept_pithanotes_7v2w4y10,Probability/Plausibility (Pithanotēs),0.87,0.33,0.7-0.9,concept_pithanon_8f3a6d2c,description_token_overlap,"The plausible or probable impression, the Carneadean criterion of action in the absence of certain knowledge. Since the Academic sceptics suspend judgement on claims to knowledge, they rely on degrees","Central to Academic Skeptic epistemology. Carneades denied the possibility of kataleptic (grasping) impressions and certain knowledge, but maintained that practical life requires some standard. His so"
scholarly_argument_frede_aristotle_on_will_1__scholarly_argument_frede_aristotle_on_will_and_free_wil_1,argument,scholarly_argument_frede_aristotle_on_will_1,Frede: Aristotle does not have a notion of will; he has a theory of choice (prohairesis,scholarly_argument_frede_aristotle_on_will_and_free_wil_1,"Frede: Aristotle lacked any concept of will, not merely free will; his proairesis is fu",0.87,0.58,0.7-0.9,scholarly_argument_frede_aristotle_on_will_1,description_token_overlap,"Frede holds that neither Plato nor Aristotle has a notion of a will: Aristotle has a notion of choice (prohairesis), but a willing for him is a direct result of one's cognitive state, and non-rational","Frede: Aristotle lacks a notion of a will, not merely of a free will. He has a notion of choice, but not one on which whenever we act of our own accord (hekontes) we do so because we choose to; for Ar"
scholarly_argument_klawans_2012_josephus_own_compatibilism_providence_always_fate_at_times__scholarly_argument_skarsaune_divine_foreknowledge_and_proph_2,argument,scholarly_argument_klawans_2012_josephus_own_compatibilism_providence_always_fate_at_times,"Josephus's own view: 'Providence always, fate at times' (Klawans 2012)",scholarly_argument_skarsaune_divine_foreknowledge_and_proph_2,Skarsaune: Justin's proof-from-prophecy method demonstrates that prophetic texts were under,0.87,0.75,0.7-0.9,scholarly_argument_klawans_2012_josephus_own_compatibilism_providence_always_fate_at_times,description_token_overlap,"Klawans reconstructs Josephus's personal position (consistent with his Life-claim to follow the Pharisees) as a partial determinism summed up by the catchphrase 'Providence always, fate at times'. Evi","Skarsaune: the Christological testimonies of the 'kerygma' source 'express a Christology which focuses on Christ as the one who fulfils OT Messianic prophecies', with the two-parousias pattern safegua"
quote_lucretius_clinamen_ii_251_293_176829af__quote_lucretius_swerve_8bae0c52,quote,quote_lucretius_clinamen_ii_251_293_176829af,Lucretius on the atomic swerve and free will (DRN II.251-293),quote_lucretius_swerve_8bae0c52,Lucretius on the clinamen and fati foedera (DRN II.251ff),0.86,0.69,0.7-0.9,quote_lucretius_clinamen_ii_251_293_176829af,description_token_overlap;label_token_overlap,"Passage-level reference to Lucretius, De Rerum Natura II.251-293. Lucretius argues that atoms swerve at no fixed time or place, breaking the chain of causation (fati foedera), and asks whence comes th","English paraphrase of Lucretius, De Rerum Natura II.251ff. Lucretius presents the atomic swerve (clinamen) as what breaks the bonds of fate (fati foedera) and makes voluntary motion possible. The atom"
pub_minns_parvis_2009_justin_apologies__scholarly_work_minns_2009_justin_philosopher_and_martyr_apologies,publication,pub_minns_parvis_2009_justin_apologies,"Minns, D. & Parvis, P. (2009). Justin Philosopher and Martyr: Apologies. Oxford Early Christian Texts. OUP.",scholarly_work_minns_2009_justin_philosopher_and_martyr_apologies,"Minns 2009 — Justin, Philosopher and Martyr: Apologies",0.86,0.28,0.7-0.9,scholarly_work_minns_2009_justin_philosopher_and_martyr_apologies,description_token_overlap;label_token_overlap,"Critical edition of Justin Martyr’s *Apologies* by Denis Minns and Paul Parvis (Oxford University Press 2009, *Oxford Early Christian Texts*, x+346 p.): established Greek text, facing English translat","Justin, Philosopher and Martyr: Apologies"
pub_bagby_2023_origen_and_prophecy_fate_authority_allegory_and_the_structure_of__scholarly_work_hall_2021_origen_and_prophecy_fate_authority_alleg,publication,pub_bagby_2023_origen_and_prophecy_fate_authority_allegory_and_the_structure_of,"Stephen Bagby 2023 — ORIGEN AND PROPHECY: FATE, AUTHORITY, ALLEGORY, AND THE STRUCTURE OF SCRIPTURE. By ClaireHall. Oxford Theology and Religion Monographs. Oxford: Oxford University Press, 2021. Pp. xvi + 221. Hardcover, $90.",scholarly_work_hall_2021_origen_and_prophecy_fate_authority_alleg,"Hall 2021 — Origen and Prophecy: Fate, Authority, Allegory, and the Structure of Scripture",0.86,0.38,0.7-0.9,scholarly_work_hall_2021_origen_and_prophecy_fate_authority_alleg,description_token_overlap;label_token_overlap,"ORIGEN AND PROPHECY: FATE, AUTHORITY, ALLEGORY, AND THE STRUCTURE OF SCRIPTURE. By ClaireHall. Oxford Theology and Religion Monographs. Oxford: Oxford University Press, 2021. Pp. xvi + 221. Hardcover,","Origen and Prophecy: Fate, Authority, Allegory, and the Structure of Scripture"
scholarly_argument_still_paul_as_apologist_0__scholarly_argument_still_paul_s_role_as_apologist_and_d_0,argument,scholarly_argument_still_paul_as_apologist_0,"Still: Raises the question of whether Paul should be considered an apologist, framing i",scholarly_argument_still_paul_s_role_as_apologist_and_d_0,"Still: The volume explores how early Christian apologists engaged with Paul's writings,",0.85,0.76,0.7-0.9,scholarly_argument_still_paul_s_role_as_apologist_and_d_0,description_token_overlap;label_token_overlap,"Still (Afterword, pp. 291-292) returns to Wilhite's question whether Paul may be considered an apologist. Paul offers no general defence of Christians against outsiders' accusations as later apologist","The Apologists and Paul (eds Still & Wilhite, 2024). Wilhite's Introduction (pp. 1-20) treats 'apologist' as an unstable, pragmatic, catch-all category, and asks whether Paul himself might be consider"
argument_frede_2011_autexousion_stoic_origin_then_christian__scholarly_argument_frede_autexousion_terminology_4,argument,argument_frede_2011_autexousion_stoic_origin_then_christian,"Stoic-origin autexousion, popularized by Christians since Justin (Frede 2011)",scholarly_argument_frede_autexousion_terminology_4,"Frede: The term autexousion originates in Stoic contexts, found in fragments of Musoniu",0.85,0.69,0.7-0.9,scholarly_argument_frede_autexousion_terminology_4,description_token_overlap;label_token_overlap,"Argument Frede 2011 Ch. 5 (p. 74-75) and Ch. 7 (p. 102-104). The term autexousion (1) first appears in a Stoic context: Musonius Rufus (2 attested occurrences), then Epictetus (frequent); (2) is taken","Frede: the term to autexousion 'seems to be of Stoic origin' and refers to the ability to act of one's own initiative (like autopragia). It is found twice in the fragments of Musonius, more often in E"
scholarly_argument_amand_de_mendieta_carneades_anti_fatalist_moral__0__scholarly_argument_amand_de_mendieta_reconstruction_of_carneades_ar_4,argument,scholarly_argument_amand_de_mendieta_carneades_anti_fatalist_moral__0,Amand de Mendieta: Carneades developed (or at least sharpened and popularized) a moral argumentatio,scholarly_argument_amand_de_mendieta_reconstruction_of_carneades_ar_4,Amand de Mendieta: The reconstruction of the general architecture of the Neo-Academic demonstration,0.85,0.56,0.7-0.9,scholarly_argument_amand_de_mendieta_carneades_anti_fatalist_moral__0,description_token_overlap;label_token_overlap,"Amand: the moral argumentation drawn from the disastrous moral consequences of the doctrine of heimarmene is the one Carneades 'sinon inventée, du moins aiguisée et popularisée' against Stoic dogmatis",Amand: the reconstruction of the general architecture of the Neo-Academic demonstration attempted in the Conclusion is 'conjecturale et toute fragmentaire' and only sketches the partial canvas of the 
argument_agent_causation_two_way_powers_alexander_q8r9s0t1__argument_power_contraries_alex,argument,argument_agent_causation_two_way_powers_alexander_q8r9s0t1,Legacy reconstruction (discovery only): Alexander's Agent Causation via Two-Way Powers Argument,argument_power_contraries_alex,Legacy reconstruction (discovery only): Power for Contraries Argument (Alexander),0.85,0.6,0.7-0.9,argument_agent_causation_two_way_powers_alexander_q8r9s0t1,description_token_overlap;label_token_overlap,"Legacy reconstruction, discovery only. Alexander's De fato 12 links deliberation with control of doing and not doing. Sharples classifies the broader conception as libertarian, but stresses that Alexa","Bounded alternatives claim, discovery only. De fato 12 uses ordinary control of doing and not doing; Sharples reads Alexander's repeated power for opposites as unqualified. That modern classification "
sc507_iustinus_apologia_i__work_justin_first_apology,work,sc507_iustinus_apologia_i,"Iustinus, Apologia I",work_justin_first_apology,First Apology (Ἀπολογία πρώτη),0.85,0.82,0.7-0.9,sc507_iustinus_apologia_i,description_token_overlap,"Justin Martyr, *First Apology* (Ἀπολογία πρώτη), addressed to Antoninus Pius, Marcus Aurelius and Lucius Verus c. 153-155 CE in Rome. Here Justin offers a rational defence of Christianity against the ","Justin Martyr's First Apology (c. 155 CE), addressed to Emperor Antoninus Pius, is an apologetic treatise whose chapters 43–44 form the philosophical centerpiece on free will and constitute what is of"
scholarly_argument_f_rst_free_will_terminology_and_conc_0__scholarly_argument_f_rst_terminology_of_will_and_freedo_1,argument,scholarly_argument_f_rst_free_will_terminology_and_conc_0,"Fürst: Argues that ancient concepts of freedom (eleutheria, autexousion) differ fundame",scholarly_argument_f_rst_terminology_of_will_and_freedo_1,Fürst: The work will address both the concept of will (Willensbegriff) and the concept ,0.85,0.67,0.7-0.9,scholarly_argument_f_rst_free_will_terminology_and_conc_0,description_token_overlap,"Fürst's terminological caution: no concept of 'Wille' existed before Augustine, so he largely avoids the word and stays close to the ancient terms — προαίρεσις (Aristotle's 'überlegtes Streben', not '","In 'Thematische Eingrenzungen' Fürst delimits his terms negatively: the Willensbegriff is discussed only to be excluded — antiquity before Augustine had no concept of will, so he avoids the word and s"
scholarly_argument_engberg_pedersen_paul_and_the_judaism_hellenism_3__scholarly_argument_engberg_pedersen_paul_s_world_view_as_both_jewi_1,argument,scholarly_argument_engberg_pedersen_paul_and_the_judaism_hellenism_3,Engberg-Pedersen: Paul's thought should not be forced into either purely Jewish or purely Hellenis,scholarly_argument_engberg_pedersen_paul_s_world_view_as_both_jewi_1,Engberg-Pedersen: Paul's Jewish 'apocalyptic' world-view can be more fully understood when recogni,0.84,0.48,0.7-0.9,scholarly_argument_engberg_pedersen_paul_and_the_judaism_hellenism_3,description_token_overlap;label_token_overlap,"Building on Paul Beyond the Judaism/Hellenism Divide (2001), Engberg-Pedersen holds that Paul's world-view 'is certainly a Jewish, apocalyptic one', but that 'parts of it are also spelled out by Paul ",Paul's world-view as both Jewish apocalyptic and Stoic philosophical — Paul's Jewish 'apocalyptic' world-view can be more fully understood when recognized as also spelled out in terms of Greco-Roman p
argument_bobzien_2001_b1_eph_hemin_one_vs_two_sided__scholarly_argument_bobzien_eph_hemin_what_depends_on_us_3,argument,argument_bobzien_2001_b1_eph_hemin_one_vs_two_sided,Bobzien 2001 — Distinction one-sided causative vs two-sided potestative to_eph_hemin,scholarly_argument_bobzien_eph_hemin_what_depends_on_us_3,Bobzien: Two conceptions of eph' hemin must be distinguished: the one-sided causative con,0.84,0.55,0.7-0.9,argument_bobzien_2001_b1_eph_hemin_one_vs_two_sided,description_token_overlap;label_token_overlap,"Key points in Bobzien 2001 §6.3.5 + §7.1: to_eph_hemin has two fundamentally distinct senses in ancient philosophy. (a) Early Stoic sense = one-sided causative: 'what occurs through us' (di' hemon), t","Bobzien (1998, pp. 139-141) distinguishes two senses of the Greek 'depending on someone': a 'one-sided, causative' concept ('attributable to us', naming who bears causal responsibility — the Stoic use"
argument_alexander_witness2_ch19_de_facto_punishment_amand1945__argument_carneadean_stoic_pragmatic_punishment_amand1945,argument,argument_alexander_witness2_ch19_de_facto_punishment_amand1945,Witness no. 2 (Alexander De Fato 19) — Fifth argument: the Stoics’ actual punishment of criminals,argument_carneadean_stoic_pragmatic_punishment_amand1945,Carneadean Argument — The Stoics Do in Fact Punish Criminals (Alexander §19),0.84,0.73,0.7-0.9,argument_carneadean_stoic_pragmatic_punishment_amand1945,description_token_overlap;label_token_overlap,"Fifth anti-fatalist moral argument reconstructed in Alexander De Fato 19 (Bruns p. 189 l. 25 — p. 190 l. 30) by Amand 1945 (analysis p. 147-148, Greek text p. 152-154). The Stoics acknowledge in pract","Additional argument reconstructed by Amand (1945, p. 585-586) on the sole testimony of Alexander of Aphrodisias (Περὶ εἱμαρμένης 19, 5e argument). Statement: “The Stoics virtually acknowledge our free"
scholarly_argument_dihle_historical_development_of_the__3__scholarly_position_dihle_will_christian_innovation,argument,scholarly_argument_dihle_historical_development_of_the__3,"Dihle: The concept of will as a distinct, arbitrary faculty separate from reason was no",scholarly_position_dihle_will_christian_innovation,Emergence of will as distinct faculty,0.84,0.61,0.7-0.9,scholarly_position_dihle_will_christian_innovation,label_token_overlap,"Dihle closes ch. I by stating that the 'clear-cut notion of will' — will as a factor separate from both reason and emotion or instinct — was always implied in the Biblical image of God, man and the un","Emergence of will as distinct faculty — Greek philosophy long resisted formulating a distinct theory of will, grounding human action instead in knowledge and reason. The notion of an autonomous will d"
scholarly_argument_munier_free_will_and_determinism_in_j_0__scholarly_argument_munier_free_will_in_justin_martyr_s_a_0,argument,scholarly_argument_munier_free_will_and_determinism_in_j_0,Munier: The work is a comprehensive study of Justin's Apology that addresses theological,scholarly_argument_munier_free_will_in_justin_martyr_s_a_0,Munier: Munier presents Justin as defending Christian doctrines including 'le libre arbi,0.83,0.7,0.7-0.9,scholarly_argument_munier_free_will_in_justin_martyr_s_a_0,description_token_overlap;label_token_overlap,"Munier treats free will within ch. IX.4 'L'homme et son salut'. Moral responsibility and free will are closely interdependent in Justin, as in most Apologists; free will is a 'pièce maîtresse' of earl","In his introduction Munier says of the second-century Greek apologists as a group that, before pagan masses and philosophers, they firmly defended the Christian dogmas, notably monotheism, free will a"
scholarly_argument_f_rst_free_will_and_self_determinati_0__scholarly_argument_f_rst_scope_and_chronological_framew_2,argument,scholarly_argument_f_rst_free_will_and_self_determinati_0,Fürst: The study of free will/self-determination (Selbstbestimmung) has deep roots in a,scholarly_argument_f_rst_scope_and_chronological_framew_2,"Fürst: The temporal framework extends from Homer to Origenes, covering Greek, Roman, an",0.83,0.43,0.7-0.9,scholarly_argument_f_rst_scope_and_chronological_framew_2,description_token_overlap,"In the Vorwort Fürst notes that Schiller's aesthetic definition (freedom as 'reine Selbstbestimmung' transferred to natural objects) has, as far as he sees, no analogy in antiquity, whereas the elemen","The book tells 'in Kurzform' the more than thousand-year 'Geschichte des Weges zur Freiheit im Sinne freier menschlicher Selbstbestimmung von Homer bis Origenes', from the 8th c. BCE to its 'Höhepunkt"
argument_anti_astrology_collective_catastrophes_5j0k2m98__argument_carneadean_antiastrological_collective_death_amand1945,argument,argument_anti_astrology_collective_catastrophes_5j0k2m98,Anti-Astrological Argument III: Collective Catastrophes (Identity of Death),argument_carneadean_antiastrological_collective_death_amand1945,Carneadean Anti-Astrological Argument III — Collective Death of Those Born Neither at the Same Moment nor under the Same Constellations,0.82,0.48,0.7-0.9,argument_anti_astrology_collective_catastrophes_5j0k2m98,description_token_overlap;label_token_overlap,"People of all ages and origins, born under vastly different planetary configurations, often perish simultaneously in collective catastrophes: shipwrecks, battles, earthquakes, plagues. This proves the","Third of the five distinct anti-astrological arguments reconstructed by Amand in Carneades (1945, p. 53-55, Intro §II ch. II §V.3). Amand identifies this argument as the second limb of the dilemma for"
scholarly_argument_o_keefe_epicurus_position_on_reduction_0__scholarly_argument_o_keefe_o_keefe_s_personal_position_on_3,argument,scholarly_argument_o_keefe_epicurus_position_on_reduction_0,O'Keefe: Epicurus is a reductionist: the mind is an atomic aggregate and mental processes,scholarly_argument_o_keefe_o_keefe_s_personal_position_on_3,"O'Keefe: O'Keefe believes Epicurus is a reductionist but not a compatibilist, though he d",0.82,0.6,0.7-0.9,scholarly_argument_o_keefe_epicurus_position_on_reduction_0,description_token_overlap;label_token_overlap,O'Keefe explains what he means by calling Epicurus a reductionist: macroscopic bodies are not 'irreducibly different' from atoms and have no causal power beyond theirs; the mind is an atomic aggregate,O'Keefe (n. 3): showing that On Nature 25 is consistent with reductionism and determinism 'does not show that Epicurus is either a reductionist or a compatibilist'; 'for the record' he believes Epicur
scholarly_argument_bobzien_chrysippus_modal_logic_and_con_2__scholarly_argument_bobzien_stoic_modal_logic_and_continge_2,argument,scholarly_argument_bobzien_chrysippus_modal_logic_and_con_2,"Bobzien: Chrysippus' modal system, based on his distinction between 'necessity' (anankē) ",scholarly_argument_bobzien_stoic_modal_logic_and_continge_2,Bobzien: Chrysippus developed a modal system that allows for contingency within determini,0.82,0.58,0.7-0.9,scholarly_argument_bobzien_chrysippus_modal_logic_and_con_2,description_token_overlap;label_token_overlap,"Chrysippus' modal notions (a minimal modification of Diodorus' possibility, with Philo's criterion added) preserve counterfactual possibilities and so secure 'an adequate modal basis' for purposeful a",Chrysippus' modal system preserves counterfactual possibilities and hence contingency within his determinism (§3.1). Against the charge that 'everything is fated' plus 'fate is Necessity' yields 'ever
scholarly_argument_frede_origen_on_free_will_5__scholarly_argument_frede_origen_s_doctrine_of_free_will_5,argument,scholarly_argument_frede_origen_on_free_will_5,Frede: Origen represents an early Christian view on free will that draws on and adapts ,scholarly_argument_frede_origen_s_doctrine_of_free_will_5,Frede: Origen relies on a basically Stoic doctrine of free will (to autexousion) to com,0.82,0.58,0.7-0.9,scholarly_argument_frede_origen_s_doctrine_of_free_will_5,description_token_overlap,"Frede: in De princ. III.1 (Peri autexousiou) Origen relies on a 'basically Stoic' doctrine of a free will, explicated 'along standard Stoic lines', which he 'integrates ... into his otherwise Platonis",Frede: in De princ. III.1 (Peri autexousiou) Origen identifies freedom with there being things up to us (eph' hēmin) and explicates this 'along standard Stoic lines'; he relies on 'a basically Stoic d
scholarly_argument_tomberlin_divine_omniscience_and_counter_1__scholarly_argument_tomberlin_free_will_defence_0,argument,scholarly_argument_tomberlin_divine_omniscience_and_counter_1,"Tomberlin: If God is omniscient, he knows for every free possible person whether that perso",scholarly_argument_tomberlin_free_will_defence_0,Tomberlin: The free will defence fails; the truth of moral evil constitutes excellent groun,0.81,0.44,0.7-0.9,scholarly_argument_tomberlin_divine_omniscience_and_counter_1,description_token_overlap;label_token_overlap,"Tomberlin and McGuinness set out an objection to the free will defence: if God is omniscient he knows, for any free possible person, whether that person would, if created, perform morally evil actions","free will defence — The free will defence fails; the truth of moral evil constitutes excellent grounds for concluding that God (as defined by omnipotence, omniscience, and perfect goodness) does not e"
scholarly_argument_list_determinism_fate_and_moral_res_1__scholarly_argument_list_free_will_and_platonic_anthrop_0,argument,scholarly_argument_list_determinism_fate_and_moral_res_1,List: The doctrine of transmigration (metempsychosis) rejected by Justin in Dialogue 4,scholarly_argument_list_free_will_and_platonic_anthrop_0,List: Justin Martyr's rejection of two specific Platonic doctrines—the soul's ability ,0.81,0.66,0.7-0.9,scholarly_argument_list_determinism_fate_and_moral_res_1,description_token_overlap;label_token_overlap,"List argues that the two Platonic doctrines Justin rejects in Dial. 4 (the soul's vision of God; transmigration) 'happen to be foundational' to the anthropologies of Carpocrates, Basilides and Simon/H",free will and Platonic anthropology in Justin Martyr — Justin Martyr's rejection of two specific Platonic doctrines—the soul's ability to see God and the doctrine of transmigration (metempsychosis)—wa
scholarly_argument_bobzien_stoic_determinism_0__scholarly_argument_bobzien_stoic_determinism_nature_and_d_0,argument,scholarly_argument_bobzien_stoic_determinism_0,"Bobzien: Stoic determinism is teleological and causal, not logical determinism, fatalism,",scholarly_argument_bobzien_stoic_determinism_nature_and_d_0,Bobzien: Stoic determinism is best understood as a combination of teleological and causal,0.81,0.52,0.7-0.9,scholarly_argument_bobzien_stoic_determinism_nature_and_d_0,description_token_overlap;label_token_overlap,"Stoic determinism — Stoic determinism is teleological and causal, not logical determinism, fatalism, or necessitarianism; fate is identified with God, Providence, Nature, and the active principle",Bobzien presents Chrysippus' determinism as combining teleological determinism (the world rationally ordered by the active principle) with causal determinism (every motion predetermined by antecedent 
scholarly_argument_amand_de_mendieta_carneades_anti_fatalist_moral__0__scholarly_argument_amand_de_mendieta_methodological_approach_3,argument,scholarly_argument_amand_de_mendieta_carneades_anti_fatalist_moral__0,Amand de Mendieta: Carneades developed (or at least sharpened and popularized) a moral argumentatio,scholarly_argument_amand_de_mendieta_methodological_approach_3,"Amand de Mendieta: The work is strictly philological and historical, primarily documentary, present",0.81,0.19,0.7-0.9,scholarly_argument_amand_de_mendieta_carneades_anti_fatalist_moral__0,description_token_overlap;label_token_overlap,"Amand: the moral argumentation drawn from the disastrous moral consequences of the doctrine of heimarmene is the one Carneades 'sinon inventée, du moins aiguisée et popularisée' against Stoic dogmatis","Amand never intended to write a history of the anti-fatalist polemic; the title 'Fatalisme et liberté' should not mislead readers seeking a synthetic, philosophically conceived exposition. His 'méthod"
