pair_id,type,a_id,a_name,b_id,b_name,same_probability,part_of_probability,tier,survivor_suggestion,reasons,a_desc_excerpt,b_desc_excerpt
scholarly_argument_jewett_creation_s_eschatological_libe_3__scholarly_argument_jewett_election_and_israel_s_destiny_2,argument,scholarly_argument_jewett_creation_s_eschatological_libe_3,Jewett: Creation was subjected to futility 'not voluntarily but on account of the one wh,scholarly_argument_jewett_election_and_israel_s_destiny_2,Jewett: The tragic riddle of Israel's unbelief poses a challenge to Paul's theology: if ,0.29,0.29,<=0.3,scholarly_argument_jewett_creation_s_eschatological_libe_3,description_token_overlap;label_token_overlap,creation's eschatological liberation — Creation was subjected to futility 'not voluntarily but on account of the one who subjected it—in hope' (8:20); it will be 'set free from its enslavement to corr,"election and Israel's destiny — The tragic riddle of Israel's unbelief poses a challenge to Paul's theology: if believers are the true heirs of Abraham and adopted children of God, what becomes of Isr"
scholarly_argument_wells_deuteronomy_and_restoration_ag_1__scholarly_argument_wells_paul_s_reading_of_deuteronomy_3,argument,scholarly_argument_wells_deuteronomy_and_restoration_ag_1,Wells: Deuteronomy 30 presents two competing readings: one emphasizing Israel's priorit,scholarly_argument_wells_paul_s_reading_of_deuteronomy_3,"Wells: Paul reads Deuteronomy 30 as prioritizing divine agency and initiative, represen",0.29,0.22,<=0.3,scholarly_argument_wells_paul_s_reading_of_deuteronomy_3,description_token_overlap;label_token_overlap,"Deuteronomy 30 and restoration agency — Deuteronomy 30 presents two competing readings: one emphasizing Israel's priority in restoration (human agency), the other emphasizing divine priority. The text","Paul reads Deuteronomy 30 in a way that 'prioritises divine agency and initiative' and so, with the author of Baruch, 'represents the minority report' among Second Temple interpreters, most of whom pr"
scholarly_argument_fitzmyer_human_agency_and_justification_0__scholarly_argument_fitzmyer_moral_responsibility_and_agenc_1,argument,scholarly_argument_fitzmyer_human_agency_and_justification_0,"Fitzmyer: Justification is a once-for-all action of Christ Jesus on behalf of humanity, no",scholarly_argument_fitzmyer_moral_responsibility_and_agenc_1,Fitzmyer: Christians retain a participatory role in their new life: they must 'put to deat,0.29,0.18,<=0.3,scholarly_argument_fitzmyer_human_agency_and_justification_0,description_token_overlap;label_token_overlap,"human agency and justification — Justification is a once-for-all action of Christ Jesus on behalf of humanity, not achieved through human merit; human beings are passive recipients of grace, with thei","moral responsibility and agency — Christians retain a participatory role in their new life: they must 'put to death the deeds of the body' through the Spirit (8:13), indicating cooperative agency rath"
argument_aristotles_voluntary_action_argument_eph_hemin_e5dd9188__argument_salles_2014_epictetus_causal_eph_hemin_continuity_chrysippus,argument,argument_aristotles_voluntary_action_argument_eph_hemin_e5dd9188,Aristotle's Voluntary Action Argument (Eph' Hemin),argument_salles_2014_epictetus_causal_eph_hemin_continuity_chrysippus,Salles 2014 — Epictetus's causal conception of eph' hêmin in continuity with Chrysippus,0.29,0.1,<=0.3,argument_salles_2014_epictetus_causal_eph_hemin_continuity_chrysippus,description_token_overlap;label_token_overlap,"In Nicomachean Ethics III.1-5 (1109b30-1115a3), Aristotle provides the foundational ancient analysis of voluntary (ἑκούσιον, hekousion) and involuntary (ἀκούσιον, akousion) action, establishing the co",de Salles’ scholarly argument (Destrée 2014): the Epictetan conception of τὸ ἐφ' ἡμῖν is *causal*—an action is in our power if we are its cause (aition)—and does not depend on the existence of alterna
argument_furst_2022_origen_culmination_autexousion__scholarly_argument_f_rst_free_will_terminology_and_conc_0,argument,argument_furst_2022_origen_culmination_autexousion,Origène = aboutissement du concept d'autexousion (Fürst 2022),scholarly_argument_f_rst_free_will_terminology_and_conc_0,"Fürst: Argues that ancient concepts of freedom (eleutheria, autexousion) differ fundame",0.29,0.24,<=0.3,argument_furst_2022_origen_culmination_autexousion,description_token_overlap;label_token_overlap,"Fürst 2022's thesis (Kap. V 2, p. 195-216): Origen was the first to make τὸ αὐτεξούσιον (""self-determination"") a central technical concept. The term, attested for the first time in Diodorus Siculus XI","Fürst's terminological caution: no concept of 'Wille' existed before Augustine, so he largely avoids the word and stays close to the ancient terms — προαίρεσις (Aristotle's 'überlegtes Streben', not '"
scholarly_argument_meyer_1998_hellenistic_origins_compatibilism__scholarly_argument_meyer_aristotle_on_weakness_of_will__7,argument,scholarly_argument_meyer_1998_hellenistic_origins_compatibilism,"Meyer: compatibilism as an explicit thesis dates to the Stoics, incompatibilism to the Epicureans",scholarly_argument_meyer_aristotle_on_weakness_of_will__7,Meyer: Aristotle rejects the Socratic intellectualist thesis that virtue is simply know,0.29,0.14,<=0.3,scholarly_argument_meyer_1998_hellenistic_origins_compatibilism,description_token_overlap;label_token_overlap,Meyer argues that the two major positions in the present-day debate over moral responsibility and causal determinism were well articulated and developed in the Hellenistic period: compatibilism as an ,"On Meyer's reading Aristotle stands in the tradition of Plato's Socrates in the Protagoras: knowing what one should do is impossible without properly cultivated desires, so in EN VII 1-3 he agrees wit"
scholarly_argument_eliasson_plotinus_s_theory_of_fate_heim_0__scholarly_argument_eliasson_that_which_depends_on_us_in_pl_0,argument,scholarly_argument_eliasson_plotinus_s_theory_of_fate_heim_0,"Eliasson: Plotinus develops a version of Middle Platonic fate theory, not merely refuting ",scholarly_argument_eliasson_that_which_depends_on_us_in_pl_0,"Eliasson: The standard interpretations of ἐφ' ἡμῖν in Plotinus—freedom, free choice, free ",0.29,0.25,<=0.3,scholarly_argument_eliasson_that_which_depends_on_us_in_pl_0,description_token_overlap;label_token_overlap,Eliasson accepts that Ennead III.1 [3] belongs to a long tradition of texts on fate and that recent commentaries rightly stress its anti-Stoic arguments and their source in Alexander's De fato. Withou,"Eliasson sorts previous readings of Plotinus' to eph' hemin into five kinds — the freedom, free choice, free will, free action and self-determination interpretations — and finds that the notion has se"
scholarly_argument_eliasson_plotinus_s_notion_of_reconside_5__scholarly_argument_eliasson_that_which_depends_on_us_in_pl_0,argument,scholarly_argument_eliasson_plotinus_s_notion_of_reconside_5,Eliasson: Plotinus's notion of ἐφ' ἡμῖν outside Ennead VI.8 must be understood in light of,scholarly_argument_eliasson_that_which_depends_on_us_in_pl_0,"Eliasson: The standard interpretations of ἐφ' ἡμῖν in Plotinus—freedom, free choice, free ",0.29,0.22,<=0.3,scholarly_argument_eliasson_that_which_depends_on_us_in_pl_0,description_token_overlap;label_token_overlap,"In chapter 6 Eliasson re-reads every occurrence of eph' hemin and of epi + dative of person in the Enneads — first outside VI.8 (III.1, I.4, III.2), then within VI.8 — in the light of his study of the","Eliasson sorts previous readings of Plotinus' to eph' hemin into five kinds — the freedom, free choice, free will, free action and self-determination interpretations — and finds that the notion has se"
scholarly_argument_brand_demonic_periodization_of_evil__scholarly_argument_crawford_oration_as_logotherapy_against_demonic_disorder,argument,scholarly_argument_brand_demonic_periodization_of_evil,Brand: demonic-source texts absolve God by externalizing sin and periodizing evil to a pre-eschatological 'dominion of Belial',scholarly_argument_crawford_oration_as_logotherapy_against_demonic_disorder,Crawford: Tatian offers the Oration as logotherapy against demonic disorder,0.29,0.09,<=0.3,scholarly_argument_brand_demonic_periodization_of_evil,description_token_overlap;label_token_overlap,Brand argues that narrative texts attributing sin to demonic forces (Watchers in 1 Enoch 1–36; Mastema and Belial in Jubilees and the Dead Sea Scrolls) externalize the source of sin to absolve God: if,"Crawford interprets Tatian's harsh rhetoric through the ancient therapy of speech. In imitation of the creative Logos, Tatian claims that his voice can reorder the confused matter of his hearers; reli"
scholarly_argument_boys_stones_2018_eph_hemin_not_free_will__scholarly_argument_boys_stones_general_causal_principle_and_d_1,argument,scholarly_argument_boys_stones_2018_eph_hemin_not_free_will,"'eph' hēmin' is agent-autonomy, prejudicially translated 'free will' (Boys-Stones 2018)",scholarly_argument_boys_stones_general_causal_principle_and_d_1,Boys-Stones: Middle Platonists accepted that every event has antecedent causes (General Causa,0.29,0.12,<=0.3,scholarly_argument_boys_stones_2018_eph_hemin_not_free_will,description_token_overlap;label_token_overlap,"Methodological/terminological argument in the Notes to Ch. 12: the Greek for agent-autonomy is τὸ ἐφ' ἡμῖν, 'what is up to us,' a phrase Boys-Stones says is 'often prejudicially translated as freedom ","Boys-Stones finds 'no evidence that any Platonist of the period had any desire to deny the General Causal Principle in their efforts to save human autonomy' (p. 440). 'Within the cosmos, at least, the"
scholarly_argument_jewett_determinism_vs_human_agency_in_2__scholarly_argument_jewett_moral_responsibility_and_congr_1,argument,scholarly_argument_jewett_determinism_vs_human_agency_in_2,Jewett: The passive voice of δικαιωθέντες ('having been set right') indicates righteousn,scholarly_argument_jewett_moral_responsibility_and_congr_1,Jewett: The peace Paul enjoins has significant social implications; the house and teneme,0.29,0.27,<=0.3,scholarly_argument_jewett_determinism_vs_human_agency_in_2,description_token_overlap;label_token_overlap,"determinism vs. human agency in salvation — The passive voice of δικαιωθέντες ('having been set right') indicates righteousness as divine gift, yet this does not eliminate human agency. The aorist pas",moral responsibility and congregational behavior — The peace Paul enjoins has significant social implications; the house and tenement churches in Rome are acting in combative manners against one anoth
scholarly_argument_kowalski_comparison_of_paul_and_epictet_2__scholarly_argument_kowalski_epictetus_on_free_will_and_pro_1,argument,scholarly_argument_kowalski_comparison_of_paul_and_epictet_2,"Kowalski: Similarities: both believe free will can exist in a divinely determined world, a",scholarly_argument_kowalski_epictetus_on_free_will_and_pro_1,"Kowalski: Epictetus's idea of freedom is constructed around the notion of proairesis, unde",0.29,0.22,<=0.3,scholarly_argument_kowalski_epictetus_on_free_will_and_pro_1,description_token_overlap;label_token_overlap,"comparison of Paul and Epictetus on free will — Similarities: both believe free will can exist in a divinely determined world, and human volition requires continuous education and subordination to God","Epictetus, per Kowalski, speaks of freedom 'in an inner, psychological and attitudinal sense' and explains it through proairesis, translatable as 'volition', which 'constitutes our true self, a ration"
scholarly_argument_jewett_free_will_and_human_response_t_0__scholarly_argument_jewett_predestination_and_divine_fore_0,argument,scholarly_argument_jewett_free_will_and_human_response_t_0,Jewett: Paul's use of the subjunctive 'let us have peace' (εἰρήνην ἔχωμεν) constitutes a,scholarly_argument_jewett_predestination_and_divine_fore_0,Jewett: Paul's argument in Romans 8:29-30 presents a fivefold climax of divine action (f,0.29,0.05,<=0.3,scholarly_argument_jewett_predestination_and_divine_fore_0,description_token_overlap;label_token_overlap,free will and human response to divine grace — Paul's use of the subjunctive 'let us have peace' (εἰρήνην ἔχωμεν) constitutes an admonition requiring active human response to God's offer of righteousn,"predestination and divine foreknowledge — Paul's argument in Romans 8:29-30 presents a fivefold climax of divine action (foreknew, predestined, called, justified, glorified) that emphasizes God's sove"
scholarly_argument_pouderon_adam_s_sin_as_disobedience_not_9__scholarly_argument_pouderon_jewish_hellenistic_apologetic__1,argument,scholarly_argument_pouderon_adam_s_sin_as_disobedience_not_9,Pouderon: Most Apologists make Adam's sin essentially a sin of disobedience—violation of a,scholarly_argument_pouderon_jewish_hellenistic_apologetic__1,Pouderon: The earliest Christian Apologists were heirs of the Jewish-Hellenistic apologeti,0.29,0.19,<=0.3,scholarly_argument_pouderon_jewish_hellenistic_apologetic__1,description_token_overlap;label_token_overlap,"Adam's sin as disobedience, not concupiscence or pride — Most Apologists make Adam's sin essentially a sin of disobedience—violation of a benevolent Creator's prohibition. It is not associated with se","The volume's back-cover presentation describes the first Apologists as 'héritiers de la tradition apologétique judéo-hellénistique', to whom the first part of the book is devoted; the dedicated treatm"
pub_christensen_2016_journey_back_to_god_origen_on_the_problem_of_evil_by_mark_scott__pub_scott_2012_journey_back_to_god_origen_on_the_problem_of_evil,publication,pub_christensen_2016_journey_back_to_god_origen_on_the_problem_of_evil_by_mark_scott,Maria Munkholt Christensen 2016 — Journey Back to God: Origen on the Problem of Evil by Mark S. M. Scott,pub_scott_2012_journey_back_to_god_origen_on_the_problem_of_evil,Mark S. M Scott 2012 — Journey back to God : Origen on the problem of evil,0.29,0.18,<=0.3,pub_christensen_2016_journey_back_to_god_origen_on_the_problem_of_evil_by_mark_scott,description_token_overlap;label_token_overlap,Reviewed by: Journey Back to God: Origen on the Problem of Evil by Mark S. M. Scott Maria Munkholt Christensen Mark S. M. Scott Journey Back to God: Origen on the Problem of Evil Oxford: Oxford Univer,Journey back to God : Origen on the problem of evil
scholarly_argument_boys_stones_2018_cyclical_recurrence_no_astral_determinism__scholarly_argument_boys_stones_general_causal_principle_and_d_1,argument,scholarly_argument_boys_stones_2018_cyclical_recurrence_no_astral_determinism,"Platonist cyclical recurrence is causal, not astral determinism (Boys-Stones 2018)",scholarly_argument_boys_stones_general_causal_principle_and_d_1,Boys-Stones: Middle Platonists accepted that every event has antecedent causes (General Causa,0.29,0.17,<=0.3,scholarly_argument_boys_stones_2018_cyclical_recurrence_no_astral_determinism,description_token_overlap;label_token_overlap,"Boys-Stones argues that the Platonist (ps.-Plutarch, On Fate 569; Origen, Against Celsus 5.21) belief in exact cyclical recurrence — the same individuals reborn doing the same things, e.g. ps.-Plutarc","Boys-Stones finds 'no evidence that any Platonist of the period had any desire to deny the General Causal Principle in their efforts to save human autonomy' (p. 440). 'Within the cosmos, at least, the"
scholarly_argument_pr_aux_augustine_and_minucius_felix_o_2__scholarly_argument_pr_aux_fate_and_free_will_in_minucius_0,argument,scholarly_argument_pr_aux_augustine_and_minucius_felix_o_2,Préaux: Augustine's treatment of fate and providence shows curious detailed coincidences,scholarly_argument_pr_aux_fate_and_free_will_in_minucius_0,Préaux: Minucius Felix's Octavius contains a sophisticated philosophical treatment of fa,0.29,0.18,<=0.3,scholarly_argument_pr_aux_augustine_and_minucius_felix_o_2,description_token_overlap;label_token_overlap,"Augustine and Minucius Felix on fate — Augustine's treatment of fate and providence shows curious detailed coincidences with Minucius Felix's manner of argumentation, though Augustine defined his posi","Préaux (pp. 395-398) reconsiders an aspect 'jusqu'ici curieusement négligé' of the Octavius: the argument drawn from 'la doctrine du fatalisme philosophique' advanced by the pagan Caecilius (XI, 5-6) "
scholarly_argument_narbonne_soul_s_descent_and_moral_respo_2__scholarly_argument_narbonne_two_modes_of_soul_s_reascent_a_4,argument,scholarly_argument_narbonne_soul_s_descent_and_moral_respo_2,Narbonne: Examines the 'partly undescended soul' (ἀμέθεξις) as a Plotinian concept develop,scholarly_argument_narbonne_two_modes_of_soul_s_reascent_a_4,Narbonne: Identifies two modes of ascent in Plotinus: solitary ascent 'alone to the Alone',0.29,0.18,<=0.3,scholarly_argument_narbonne_two_modes_of_soul_s_reascent_a_4,description_token_overlap;label_token_overlap,"Study Two: the partly undescended soul, which guarantees the incarnate soul 'a direct and uninterrupted link with transcendent realities', is 'a transfer or, more precisely, a reformulation of a teach","Study Four contrasts the solitary ascent of the soul in Treatise 9 (VI.9) with the 'accompanied ascent' of Treatise 38 (VI.7), where the soul 'no longer rises alone' but is borne up by the Intellect, "
scholarly_argument_koenig_active_care__scholarly_argument_koenig_therapy_repentance,argument,scholarly_argument_koenig_active_care,König: care for others ranks above solitary self-perfection,scholarly_argument_koenig_therapy_repentance,König: pedagogy is therapy because free souls can repent,0.29,0.1,<=0.3,scholarly_argument_koenig_therapy_repentance,description_token_overlap;label_token_overlap,Care for another's needs and soul images divine providence and ranks above self-only perfection; care can become reciprocal between rich and poor.,"König reads the Paidagogos as presenting God's Logos as educator whose work is analogous to a physician's: the soul, weakened by passions and sicknesses, needs healing treatment through education, whi"
argument_pseudodionysiuss_hierarchical_causation_argument_e0d73eb9__scholarly_argument_jurasz_marinus_platonising_bardesanism,argument,argument_pseudodionysiuss_hierarchical_causation_argument_e0d73eb9,Pseudo-Dionysius's Hierarchical Causation Argument,scholarly_argument_jurasz_marinus_platonising_bardesanism,"Jurasz: Marinus in the Adamantius Dialogue attests a later, Platonising bardesanism",0.29,0.13,<=0.3,scholarly_argument_jurasz_marinus_platonising_bardesanism,description_token_overlap,"Written c. 500 CE, falsely attributed to Dionysius the Areopagite (Acts 17:34) to give apostolic authority. Represents synthesis of Proclean Neoplatonism and Christian theology. Enormously influential","The bardesanite Marinus in the Adamantius Dialogue represents a later and possibly local version of Bardaisan's teaching: Platonising and hostile to the body, holding the resurrection of souls and not"
scholarly_argument_haacker_paul_s_historical_theology_in__0__scholarly_argument_haacker_theodicy_and_divine_responsibi_1,argument,scholarly_argument_haacker_paul_s_historical_theology_in__0,"Haacker: Paul's interpretation of Israel's fate in Romans 9-11, particularly the theodicy",scholarly_argument_haacker_theodicy_and_divine_responsibi_1,Haacker: Paul in Romans 9-11 develops a historical interpretation that traces Israel's ob,0.29,0.27,<=0.3,scholarly_argument_haacker_theodicy_and_divine_responsibi_1,label_token_overlap,"Paul's historical theology in Romans 9-11 and its relation to Philonic exegesis — Paul's interpretation of Israel's fate in Romans 9-11, particularly the theodicy problem and the relativization of des","Haacker: whereas the rest of early Christianity explained the Jewish majority's rejection of the Jesus movement psychologically, judged it morally, or at most rationalised it as foretold in the OT, Pa"
argument_aquinass_primary_and_secondary_causation_12f1649a__argument_bradwardines_de_causa_dei_2c360b77,argument,argument_aquinass_primary_and_secondary_causation_12f1649a,Aquinas's Primary and Secondary Causation,argument_bradwardines_de_causa_dei_2c360b77,Bradwardine's De Causa Dei,0.29,0.21,<=0.3,argument_bradwardines_de_causa_dei_2c360b77,description_token_overlap,Aquinas's solution (often characterized in modern terms as compatibilist): God as primary cause acts through secondary causes (including free will) without destroying their causal nature (Summa Theolo,"Thomas Bradwardine's De Causa Dei contra Pelagium (On God's Cause Against Pelagius, 1344) presents a radical Augustinian determinism that denies any efficacious free will independent of divine grace, "
concept_diachronic_contingency_w1x2y3z4__concept_synderesis_g5h6i7j8,concept,concept_diachronic_contingency_w1x2y3z4,Diachronic Contingency,concept_synderesis_g5h6i7j8,Synderesis,0.29,0.09,<=0.3,concept_diachronic_contingency_w1x2y3z4,description_token_overlap,"Aquinas' view: will necessarily follows last practical judgment of intellect. At the moment of choice, given that judgment, will necessarily chooses accordingly. But agent was free in earlier moments:","Mysterious medieval concept possibly from Jerome's mistranscription of syneidesis (συνείδησις, moral consciousness). Scholastics debated whether synderesis is habit in intellect (Aquinas) or affective"
pub_bianchi_2024_heterodoxy_and_rational_theology__pub_szram_2004_koscio_jako_rzeczywistosc_wieczna_doktrynie_orygenesa,publication,pub_bianchi_2024_heterodoxy_and_rational_theology,Andrea Bianchi 2024 — Heterodoxy and Rational Theology,pub_szram_2004_koscio_jako_rzeczywistosc_wieczna_doktrynie_orygenesa,Mariusz Szram 2004 — Kościół jako rzeczywistość wieczna w doktrynie Orygenesa,0.29,0.16,<=0.3,pub_szram_2004_koscio_jako_rzeczywistosc_wieczna_doktrynie_orygenesa,description_token_overlap,"Despite his controversial reputation, Origen of Alexandria (185–253) was very much present in 17th- century religious debates. His official condemnation by the Church was a stain on his theological an","In Origens theological research, the term Church has a very wide meaning, which conveys the framework of the earthly religious institution and the community of believers. In its fundamental sense, "
scholarly_argument_brouwer_hellenistic_origins_of_the_deb_2__scholarly_argument_brouwer_influence_on_late_antiquity_an_4,argument,scholarly_argument_brouwer_hellenistic_origins_of_the_deb_2,Brouwer: The Hellenistic debate started with Stoics and Epicureans taking opposite positi,scholarly_argument_brouwer_influence_on_late_antiquity_an_4,Brouwer: The early Imperial debate was influential for late antique Greek and Latin churc,0.29,0.16,<=0.3,scholarly_argument_brouwer_influence_on_late_antiquity_an_4,label_token_overlap,"Hellenistic origins of the debate — The Hellenistic debate started with Stoics and Epicureans taking opposite positions (determinism vs. libertarianism), with Academic Sceptics attacking both dogmatic","influence on late antiquity and medieval period — The early Imperial debate was influential for late antique Greek and Latin church fathers, especially Gregory of Nyssa (Against Fate) and Augustine (O"
