node_id,type,name,existing_school,proposed_school,probability,confidence,anchor_sentence,desc_excerpt
sc10bis_ignatius_ad_magnesios,work,"Ignatius, Ad Magnesios",Apostolic Fathers,Christian (patristic),1,1,"Addressed to the Christian community at Magnesia on the Meander, the letter survives in 15 chapters plus salutation.","Letter to the Magnesians (Epistula ad Magnesios), one of seven authentic letters written by Ignatius of Antioch (c. 35-c. 117 CE) while en route to martyrdom in Rome. Addressed to the Christian community at Magnesia on t"
sc10bis_ignatius_ad_philadelphenos,work,"Ignatius, Ad Philadelphenos",Apostolic Fathers,Christian (patristic),1,1,"Letter from Ignatius of Antioch to the Christian community at Philadelphia (in Asia Minor), written c.","Letter from Ignatius of Antioch to the Christian community at Philadelphia (in Asia Minor), written c. 110-117 CE while Ignatius was under military escort to Rome for martyrdom. The letter survives in 11 chapters plus a "
sc10bis_ignatius_ad_romanos,work,"Ignatius, Ad Romanos",Apostolic Fathers,Christian (patristic),1,1,The letter is the most sustained early Christian text on voluntary self-offering to death.,"Ignatius of Antioch (c. 35-c. 110/117 CE), Epistula ad Romanos (Letter to the Romans), 10 chapters. Written from Smyrna during Ignatius's transfer to Rome under military guard. Edition: P.-Th. Camelot, SC 10bis, 4th ed.,"
sc10bis_ignatius_ad_smyrnaeos,work,"Ignatius, Ad Smyrnaeos",Apostolic Fathers,Christian (patristic),1,1,"110-117 CE while en route to martyrdom in Rome, addressed to the Christian community at Smyrna in Roman Asia.","Letter to the Smyrnaeans (Epistula ad Smyrnaeos), written by Ignatius of Antioch c. 110-117 CE while en route to martyrdom in Rome, addressed to the Christian community at Smyrna in Roman Asia. The letter survives in the"
sc10bis_ignatius_ad_trallianos,work,"Ignatius, Ad Trallianos",Apostolic Fathers,Christian (patristic),1,1,no textual anchor,"Ignatius of Antioch (c. 35-117 CE), Epistula ad Trallianos (Πρὸς Τραλλιανούς). One of the seven authentic middle-recension letters, written from Smyrna en route to martyrdom in Rome. The letter addresses the church at Tr"
sc10bis_martyrium_polycarpi,work,Martyrium Polycarpi,Apostolic Fathers,Christian (patristic),1,0.99,"The earliest extant Christian martyrdom account, composed as a circular letter from the church of Smyrna to the church at Philomelium and beyond (chap.","Anonymous, Martyrium Polycarpi (c. 155–167 CE). The earliest extant Christian martyrdom account, composed as a circular letter from the church of Smyrna to the church at Philomelium and beyond (chap. 20). Polycarp, bisho"
person_apollinaris_hierapolis_2c,person,Apollinaris of Hierapolis,Christian Apologetics,Christian (patristic),0.99,0.98,School: Christian Apologetics;,"Note: Bishop of Hierapolis, fl. c. 170; School: Christian Apologetics; Location: Hierapolis"
sc123_apollinaris_peri_pascha,work,"Apollinaris, Peri Pascha (fr.)",Christian Apologetics,Christian (patristic),0.99,0.99,no textual anchor,"Apollinaris of Hierapolis (fl. c. 170 CE), Peri Pascha (fragments). Fragments of a treatise on the Paschal controversy. Edition: O. Perler, SC 123, 1966."
sc123_melito_apologia_ad_antoninum,work,"Melito, Apologia ad Antoninum (fr.)",Christian Apologetics,Christian (patristic),0.99,0.99,"Its reconstructible content includes an anti-fatalist and anti-persecution argument: Melito defends the rationality of Christianity in the face of imperial persecutions and pleads for tolerance, in the apologetic tradition of Justin and Athenagoras.","Melito of Sardis, fragments of the *Apology* addressed to an Antonine emperor (Eusebius’ traditional attribution to Antoninus Pius has been criticized—the excerptum names Hadrian as the recipient’s grandfather and Antoni"
sc123_melito_de_anima_et_corpore,work,"Melito, De Anima et Corpore (fr.)",Christian Apologetics,Christian (patristic),0.99,0.98,no textual anchor,"Attributed to Melito of Sardis (fl. c. 160-170 CE), De anima et corpore (Fragment XIII in Perler's numbering; = Hall, Fragment 13). Short fragment on soul and body, transmitted in Syriac florilegia under the rubric 'Meli"
sc10bis_ignatius_ad_polycarpum,work,"Ignatius, Ad Polycarpum",Apostolic Fathers,Christian (patristic),0.99,0.99,"Chapter 6 deploys sustained military metaphor (baptism as weapons, faith as helmet, endurance as full armor) to frame Christian life as obedient service.","Letter from Ignatius of Antioch to Polycarp, bishop of Smyrna, written c. 110-117 CE during Ignatius's journey to Rome for martyrdom. The shortest of the Ignatian epistles (8 chapters), it combines personal pastoral coun"
person_lactantius_250_325ce,person,Lactantius,Christian,Christian (patristic),0.98,0.98,Christian apologist and rhetorician (c.,Christian apologist and rhetorician (c. 250-325 CE). Divinae Institutiones contains arguments for free will against Stoic determinism. Known as the 'Christian Cicero.'
person_maximus_confessor_d662,person,Maximus the Confessor,Patristic,Christian (patristic),0.98,0.97,no textual anchor,"Maximus the Confessor (c. 580 — 13 August 662 CE), Byzantine monk, theologian, and martyr, born in Constantinople (Vita 1) or Palestine (Syriac Life). After a court career under Heraclius (c. 610–614), he entered the mon"
person_tatian,person,Tatian,Christian Apologetics,Christian (patristic),0.98,0.98,9.3 says Christians are above fate;,"Tatian the Syrian (fl. c. 150–180 CE) authored the Oratio ad Graecos. In SAPERE's numbering, Or. 7.2 links praise and blame with creatures made self-determining; 7.3 contrasts foreknowledge with fate; 8.1 calls demonic a"
person_theodoret_cyrrhus_393_466ce,person,Theodoret of Cyrrhus,Antiochene School,Christian (patristic),0.98,0.98,Graecarum Affectionum Curatio compares Greek philosophical views on fate with Christian doctrine.,Bishop and theologian (c. 393-466 CE) of the Antiochene school. Graecarum Affectionum Curatio compares Greek philosophical views on fate with Christian doctrine.
work_eusebius_he_iv_26_melito_fr_iv,work,"Melito, Peri Pascha fr. IV",Christian Apologetics,Christian (patristic),0.98,0.98,no textual anchor,"Melito of Sardis (fl. c. 160-170 CE), Peri Pascha Fragment IV. Melito's own dating notice from the opening of the Peri Pascha, quoted by Eusebius, Historia ecclesiastica IV.26.3, to date the work under the proconsulate o"
sc470_aristides_apologia,work,"Aristides, Apologia",Christian Apologetics,Christian (patristic),0.98,0.96,"125 CE), addressed to the emperor — either Hadrian or Antoninus Pius (disputed) — among the earliest surviving Christian apologies.","Aristides of Athens, Apologia (c. 125 CE), addressed to the emperor — either Hadrian or Antoninus Pius (disputed) — among the earliest surviving Christian apologies. The Greek text was partially preserved within the roma"
sc507_iustinus_apologia_i,work,"Iustinus, Apologia I",Christian Apologetics,Christian (patristic),0.98,0.97,"Here Justin offers a rational defence of Christianity against the traditional calumnies (atheism, immorality, sedition).","Justin Martyr, *First Apology* (Ἀπολογία πρώτη), addressed to Antoninus Pius, Marcus Aurelius and Lucius Verus c. 153-155 CE in Rome. Here Justin offers a rational defence of Christianity against the traditional calumnie"
person_gregory_nazianzus_d389,person,Gregory of Nazianzus,Christian Platonism,Christian (patristic),0.97,0.96,Gregory of Nazianzus (c.,"Gregory of Nazianzus (c. 329/330–389 CE), bishop of Sasima and then briefly of Constantinople (380–381), 'the Theologian' according to the Orthodox Church, one of the three Cappadocian Fathers alongside Basil and Gregory"
person_gregory_nyssa_d395,person,Gregory of Nyssa,Christian Platonism,Christian (patristic),0.97,0.96,Gregory of Nyssa (c.,"Gregory of Nyssa (c. 335-c. 395 CE), bishop of Nyssa in Cappadocia, younger brother of Basil of Caesarea, one of the three Cappadocian Fathers. For Amand 1945 (Book II ch. IX, p. 405-439), Gregory is a Christian Platonis"
person_hermas_2c_ce,person,Hermas,Apostolic Fathers,Christian (patristic),0.97,0.96,Roman Christian prophet and visionary (fl.,"Roman Christian prophet and visionary (fl. c. 140–155 CE). The Muratorian Fragment (c. 170–200 CE), the earliest canonical list, identifies Hermas as the brother of Pius I, bishop of Rome (c. 140–155 CE), and states that"
person_irenaeus_d202,person,Irenaeus of Lyon,Christian Apologetics,Christian (patristic),0.97,0.97,no textual anchor,"Bishop of Lyon (second century CE), originally from Asia Minor, and author of the five-book Adversus haereses. AH IV.37 preserves distinct witness strata: the ancient Latin version and Greek fragments transmitted in John"
person_pamphilus_caesarea_d310,person,Pamphilus of Caesarea,Christian Platonism,Christian (patristic),0.97,0.96,"240–309/310 CE), Christian presbyter and theologian martyred at Caesarea Maritima under Maximinus Daia.","Pamphilus of Caesarea (c. 240–309/310 CE), Christian presbyter and theologian martyred at Caesarea Maritima under Maximinus Daia. Born probably in Berytus (Beirut), he studied under Pierius at the Alexandrian Didaskaleio"
sc172_epistula_barnabae,work,Epistula Barnabae,Apostolic Fathers,Christian (patristic),0.97,0.96,An anonymous early Christian treatise falsely attributed to the apostle Barnabas (Acts 4:36);,"Pseudo-Barnabas (c. 70–132 CE), Ἐπιστολὴ Βαρνάβα. An anonymous early Christian treatise falsely attributed to the apostle Barnabas (Acts 4:36); the pseudepigraphic attribution was accepted by Clement of Alexandria but is"
person_pseudo_barnabas,person,Pseudo-Barnabas (Anonymous),Apostolic Fathers,Christian (patristic),0.96,0.95,"Anonymous Christian author, conventionally designated Pseudo-Barnabas to distinguish him from the apostle Barnabas of Acts 4:36.","Anonymous Christian author, conventionally designated Pseudo-Barnabas to distinguish him from the apostle Barnabas of Acts 4:36. The pseudepigraphic attribution, accepted by Clement of Alexandria (Strom. 2.6.31) and Orig"
sc123_melito_eclogae,work,"Melito, Eclogae (fr.)",Christian Apologetics,Christian (patristic),0.96,0.95,no textual anchor,"Melito of Sardis (fl. c. 160-170 CE), Eclogae (Fragment III). Excerpts (Ἐκλογαί) from the Old Testament. Edition: O. Perler, SC 123, 1966."
sc528_pseudo_iustinus_cohortatio,work,"Pseudo-Iustinus, Oratio ad Graecos (Discours aux Grecs)",Christian Apologetics,Christian (patristic),0.96,0.96,"A protreptic work falsely attributed to Justin Martyr, urging Greeks to abandon pagan philosophy and mythology in favor of Christian truth.","Pseudo-Justin, Oratio ad Graecos (Discours aux Grecs) (Exhortation to the Greeks, 3rd c. CE?). A protreptic work falsely attributed to Justin Martyr, urging Greeks to abandon pagan philosophy and mythology in favor of Ch"
sc79_chrysostomus_de_providentia,work,"Chrysostomus, De Providentia",Antiochene School,Christian (patristic),0.93,0.92,"504-510, 525-532), these homilies—whose authenticity is neither assured nor demonstrably inauthentic—constitute one of the most considerable monuments of the anti-fatalist polemic pursued by the Christian Church in the East during the fourth and fifth centuries.","Les Six Discours sur le Destin et la Providence (Peri heimarmenes te kai pronoias logoi hex) attributed by the manuscript tradition to John Chrysostom (PG 50, 749-774). For Amand 1945 (Book II ch. XII, p. 504-510, 525-53"
person_aulus_gellius_125_180ce,person,Aulus Gellius,Doxographer,Stoic,0.91,0.9,"For the free will debate, his importance rests almost entirely on Noctes Atticae VII.2 (""De Fato et Chrysippo""), which preserves one of the most detailed surviving accounts of Chrysippus's response to the moral-responsibility objection against Stoic fate.","Roman miscellanist and doxographer (c. 125-180 CE), author of the Noctes Atticae, a twenty-book Latin compendium of notes on grammar, philosophy, law, and antiquarian topics compiled during his studies in Athens and late"
person_pseudo_justin,person,Pseudo-Justin (Anonymous),Christian Apologetics,Christian (patristic),0.89,0.87,no textual anchor,Composite pseudonymous attribution covering multiple works falsely ascribed to Justin Martyr in the manuscript tradition. Major pseudo-Justinian works: (1) Cohortatio ad Graecos (Exhortation to the Greeks) — probably 3rd
