concept_id,concept_label,question,probability,passage_id,auteur,oeuvre,ref,langue,extrait
concept_concupiscence,Concupiscence (Concupiscentia),discusses Concupiscence (Concupiscentia)?,0.97,passage_aug_gla_1_1,Augustine,De Libero Arbitrio,Grat. 1.1,lat,"DE GRATIA ET LIBERO ARBITRIO LIBER UNUS AD VALENTINUM ET CUM ILLO MONACHOS De obscuritate quaestionis. 1. 1. Propter eos qui hominis liberum arbitrium sic praedicant et defendunt, ut Dei gratiam qua vocamur ad eum et a nostris malis meritis"
concept_prohairesis_deliberate_choice_aristotle_c3d4e5f6,Prohairesis (Προαίρεσις),discusses Prohairesis (Προαίρεσις)?,0.97,passage_arist_ee_2_8,Aristotle,Ἠθικὰ Εὐδήμεια,2.8,grc,"ὅτι μὲν τοίνυν οὐκ ἔστι τὸ ἑκούσιον τὸ κατὰ ὄρεξιν πράττειν, οὐδʼ ἀκούσιον τὸ παρὰ τὴν ὄρεξιν, φανερόν· ὅτι δʼ οὐδὲ κατὰ προαίρεσιν, πάλιν ἐκ τῶνδε δῆλον. τὸ μὲν γὰρ κατὰ βούλησιν ὡς οὐκ ἀκούσιον ἀπεδείχθη,   ἀλλὰ μᾶλλον πᾶν ὃ βούλεται καὶ "
concept_horme_alex,Hormē (ὁρμή),discusses Hormē (ὁρμή)?,0.97,passage_arist_ee_2_8,Aristotle,Ἠθικὰ Εὐδήμεια,2.8,grc,"ὅτι μὲν τοίνυν οὐκ ἔστι τὸ ἑκούσιον τὸ κατὰ ὄρεξιν πράττειν, οὐδʼ ἀκούσιον τὸ παρὰ τὴν ὄρεξιν, φανερόν· ὅτι δʼ οὐδὲ κατὰ προαίρεσιν, πάλιν ἐκ τῶνδε δῆλον. τὸ μὲν γὰρ κατὰ βούλησιν ὡς οὐκ ἀκούσιον ἀπεδείχθη,   ἀλλὰ μᾶλλον πᾶν ὃ βούλεται καὶ "
concept_synkatathesis_stoic_assent,"Synkatathesis (Stoic Assent, συγκατάθεσις)","discusses Synkatathesis (Stoic Assent, συγκατάθεσις)?",0.97,passage_alex_fat_11,Alexander of Aphrodisias,De Fato,De Fato 11,grc,"Ἀκολουθεῖ δὲ τῷ πάντα τὰ γινόμενα προκαταβεβλημέναις καὶ ὡρισμέναις καὶ προυπαρχούσαις τισὶν αἰτίαις ἔσεσθαι τὸ καὶ βουλεύεσθαι τοὺς ἀνθρώπους μάτην περὶ τῶν πρακτέων αὐτοῖς. εἰ δὲ τὸ βουλεύεσθαι μάτην, μάτην ἂν ἄνθρωπος εἴη βουλευτικός. κα"
concept_prohairesis_deliberate_choice_aristotle_c3d4e5f6,Prohairesis (Προαίρεσις),discusses Prohairesis (Προαίρεσις)?,0.97,passage_arist_ee_2_11,Aristotle,Ἠθικὰ Εὐδήμεια,2.11,grc,"τούτων δὲ διωρισμένων, λέγωμεν πότερον ἡ ἀρετὴ ἀναμάρτητον ποιεῖ τὴν προαίρεσιν καὶ τὸ τέλος ὀρθόν, οὕτως ὥστε οὗ ἕνεκα δεῖ προαιρεῖσθαι, ἢ ὥσπερ δοκεῖ τισί, τὸν  λόγον. ἔστι δὲ τοῦτο ἐγκράτεια· αὕτη γὰρ οὐ διαφθείρει τὸν λόγον. ἔστι δʼ ἀρε"
concept_akrasia_weakness_of_will,"Akrasia (Weakness of Will, ἀκρασία)","discusses Akrasia (Weakness of Will, ἀκρασία)?",0.97,passage_arist_ne_7_5,Aristotle,Ἠθικὰ Νικομάχεια,7.5,grc,"ἐπεὶ δʼ ἐστὶν ἔνια μὲν ἡδέα φύσει, καὶ τούτων τὰ μὲν ἁπλῶς τὰ δὲ κατὰ γένη καὶ ζῴων καὶ ἀνθρώπων, τὰ δʼ οὐκ ἔστιν, ἀλλὰ τὰ μὲν διὰ πηρώσεις τὰ δὲ διʼ ἔθη γίνεται, τὰ δὲ διὰ μοχθηρὰς φύσεις, ἔστι καὶ περὶ τούτων ἕκαστα παραπλησίας ἰδεῖν ἕξει"
concept_akrasia_weakness_of_will,"Akrasia (Weakness of Will, ἀκρασία)","discusses Akrasia (Weakness of Will, ἀκρασία)?",0.96,passage_arist_mm_2_6_39,Aristotle,Magna Moralia,2.6.39,grc,"Πότερον δὲ ὁ ἀκόλαστος ἀκρατὴς ἐστίν, ἢ ὁ ἀκρατὴς ἀκόλαστος; ἢ οὐδετέρῳ ἕτερος ἀκολουθεῖ; ὁ μὲν γὰρ ἀκρατής ἐστιν οὗ ὁ λόγος τοῖς πάθεσι μάχεται, ὁ δ' ἀκόλαστος οὐ τοιοῦτος, ἀλλ' ὁ τῷ πράττειν τὰ φαῦλα ἅμα τὸν λόγον σύμψηφον ἔχων· οὔτε δὴ ὁ"
concept_autokrateia_alex,Self-Governance / αὐτεξούσιον (Alexander),discusses Self-Governance / αὐτεξούσιον (Alexander)?,0.96,passage_alex_fat_18,Alexander of Aphrodisias,De Fato,De Fato 18,grc,"ἀλλ’ ὅτι μὲν τὸ δόγμα τοῦτο ἀνατροπῆς αἴτιον παντὸς τοῦ τῶν ἀνθρώπων βίου, παντί που μαθεῖν ῥᾴδιον, ὅτι δὲ καὶ ψεῦδος, ἱκανὸν μαρτύριον τὸ μηδ’ αὐτοὺς τοὺς προστάτας αὐτοῦ δύνασθαι πείθεσθαι τοῖς ὑφ’ αὐτῶν λεγομένοις. οὕτω γὰρ ἐν πᾶσι τοῖς "
concept_kyrios_alex,Kyrios (κύριος),discusses Kyrios (κύριος)?,0.96,passage_just_tryph_37_2,Justin Martyr,Dialogus cum Tryphone,37.2,grc,"Καὶ ἐν ἐνενηκοστῷ ὀγδόῳ ψαλμῷ ὀνειδίζει ὑμᾶς τὸ πνεῦμα τὸ ἅγιον, καὶ τοῦτον, ὃν μὴ θέλετε βασιλέα εἶναι, βασιλέα καὶ κύριον καὶ τοῦ Σαμουὴλ καὶ τοῦ Ἀαρὼν καὶ Μωσέως καὶ τῶν ἂλλων πάντων ἁπλῶς ὄντα μηνύει."
concept_hekousion_voluntary_aristotle_a1b2c3d4,Hekousion (Ἑκούσιον),discusses Hekousion (Ἑκούσιον)?,0.96,passage_arist_mm_1_13_4,Aristotle,Magna Moralia,1.13.4,grc,"Ἀλλ' οὗτος ὁ λόγος ἀναιρεῖ ἀκρασίαν καὶ τὸν ἀκρατῆ. εἰ γὰρ μὴ ἑκών, οὐκ ἔστιν ψεκτός· ἀλλ' ἔστιν ὁ ἀκρατὴς ψεκτός· ἑκὼν ἄρα· ἡ ἄρα βούλησις ἑκούσιον. Ἐπεὶ οὖν λόγοι τινὲς ἐναντίοι φαίνονται, σαφέστερον λεκτέον ὑπὲρ τοῦ ἑκουσίου."
concept_logos_krites_alex,Logos as Kritēs (Reason as Judge),discusses Logos as Kritēs (Reason as Judge)?,0.96,passage_alex_fat_14,Alexander of Aphrodisias,De Fato,De Fato 14,grc,"ἔνεστι δ’ ὁρᾶν, εἰ ταῦτα λέγοντες σώζουσιν τὰς κοινὰς περὶ τοῦ ἐφ’ ἡμῖν πάντων ἀνθρώπων προλήψεις. οἱ γὰρ ἀπαιτοῦντες αὐτούς, πῶς οἷόν τε πάντων ὄντων καθ’ εἱμαρμένην τὸ ἐφ’ ἡμῖν σώζεσθαι, οὐκ ὄνομα μόνον τοῦ ἐφ’ ἡμῖν τιθέντες τοῦτ’ ἀπαιτοῦ"
concept_mr1_autonomy_responsibility,MR1: Autonomy-based Moral Responsibility,discusses MR1: Autonomy-based Moral Responsibility?,0.96,passage_alex_fat_15,Alexander of Aphrodisias,De Fato,De Fato 15,grc,"τὸ δ’ ἐποχουμένους τῷ εἰ δὴ τῶν αὐτῶν περιεστώτων ὁτὲ μὲν οὕτως ὁτὲ δὲ ἄλλως ἐνεργήσει τις, ἀναίτιον κίνησιν εἰσάγεσθαι’ διὰ τοῦτο λέγειν μὴ δύνασθαι οὗ πράξει τις πρᾶξαι τὸ ἀντικείμενον, μήποτε καὶ αὐτὸ τῶν ὁμοίως τοῖς προειρημένοις παρορω"
concept_akousion_involuntary_aristotle_b2c3d4e5,Akousion (Ἀκούσιον),discusses Akousion (Ἀκούσιον)?,0.96,passage_arist_ee_2_8,Aristotle,Ἠθικὰ Εὐδήμεια,2.8,grc,"ὅτι μὲν τοίνυν οὐκ ἔστι τὸ ἑκούσιον τὸ κατὰ ὄρεξιν πράττειν, οὐδʼ ἀκούσιον τὸ παρὰ τὴν ὄρεξιν, φανερόν· ὅτι δʼ οὐδὲ κατὰ προαίρεσιν, πάλιν ἐκ τῶνδε δῆλον. τὸ μὲν γὰρ κατὰ βούλησιν ὡς οὐκ ἀκούσιον ἀπεδείχθη,   ἀλλὰ μᾶλλον πᾶν ὃ βούλεται καὶ "
concept_akrasia_weakness_of_will,"Akrasia (Weakness of Will, ἀκρασία)","discusses Akrasia (Weakness of Will, ἀκρασία)?",0.96,passage_arist_mm_2_6_14,Aristotle,Magna Moralia,2.6.14,grc,"ὅταν οὖν μὴ ἐνεργῇ τῇ ἐπιστήμῃ ταύτῃ, οὐδὲν ἄτοπον αὐτόν ἐστιν πράττειν τὰ φαῦλα ἔχοντα τὴν ἐπιστήμην. ὅμοιον γάρ ἐστιν ὥσπερ ἐπὶ τῶν καθευδόντων. οὗτοι γὰρ ἔχοντες τὴν ἐπιστήμην ὅμως ἐν τῷ ὕπνῳ πολλὰ δυσχερῆ καὶ πράττουσι καὶ πάσχουσιν. οὐ"
concept_fortuna_boethius_j5k6l7m8,Fortuna (Fortune),discusses Fortuna (Fortune)?,0.96,passage_boethius_cons_14,Boethius,De Consolatione Philosophiae,Cons. 14,lat,"Tu frondifluae frigore brumae stringis lucem breviore mora, tu, cum fervida venerit aestas, agiles nocti dividis horas. Tua vis varium temperat annum, ut, quas Boreae spiritus aufert, revehat mites Zephyrus frondes, quaeque Arcturus semina "
concept_prohairesis_deliberate_choice_aristotle_c3d4e5f6,Prohairesis (Προαίρεσις),discusses Prohairesis (Προαίρεσις)?,0.96,passage_arist_ee_7_7,Aristotle,Ἠθικὰ Εὐδήμεια,7.7,grc,"ποσαχῶς μὲν οὖν τὸ φιλεῖν λέγεται, καὶ ὅτι πᾶσαι αἱ φιλίαι ἀνάγονται πρὸς τὴν πρώτην, δῆλον ἐκ τῶν εἰρημένων·   οἰκεῖον δὲ τῇ σκέψει θεωρῆσαι καὶ περὶ ὁμονοίας καὶ εὐνοίας. δοκεῖ γὰρ τοῖς μὲν εἶναι ταὐτά, τοῖς δʼ οὐκ ἄνευ ἀλλήλων. ἔστι δʼ ἡ"
concept_akrasia_weakness_of_will,"Akrasia (Weakness of Will, ἀκρασία)","discusses Akrasia (Weakness of Will, ἀκρασία)?",0.96,passage_arist_mm_2_6_17,Aristotle,Magna Moralia,2.6.17,grc,"Οὐδὲν οὖν ἄτοπον οὐδ' οὕτω συμβήσεται ἐπὶ τοῦ ἀκρατοῦς, τὸν ἔχοντα τὴν ἐπιστήμην φαῦλόν τι πράττειν. ἔστι γὰρ ὡς ἐπὶ τῶν μεθυόντων. οἱ γὰρ μεθύοντες, ὅταν αὐτοῖς ἡ μέθη ἀπαλλαγῇ, πάλιν οἱ αὐτοὶ εἰσίν· οὐκ ἐξέπεσεν δ' αὐτῶν ὁ λόγος οὐδ' ἡ ἐπ"
concept_eph_hemin_in_our_power_aristotle_d4e5f6g7,To Eph' Hêmin (Τὸ ἐφ' ἡμῖν),discusses To Eph' Hêmin (Τὸ ἐφ' ἡμῖν)?,0.96,passage_alexander_de_fato_14,Alexander of Aphrodisias,De Fato,,grc,"ἔνεστι δ' ὁρᾶν, εἰ ταῦτα λέγοντες σώζουσιν τὰς κοινὰς περὶ τοῦ ἐφ' ἡμῖν πάντων ἀνθρώπων προλήψεις. οἱ γὰρ ἀπαιτοῦντες αὐτούς, πῶς οἷόν τε πάντων ὄντων καθ' εἱμαρμένην τὸ ἐφ' ἡμῖν σώζεσθαι, οὐκ ὄνομα μόνον τοῦ ἐφ' ἡμῖν τιθέντες τοῦτ' ἀπαιτοῦ"
concept_akrasia_weakness_of_will,"Akrasia (Weakness of Will, ἀκρασία)","discusses Akrasia (Weakness of Will, ἀκρασία)?",0.96,passage_arist_ee_8_1,Aristotle,Ἠθικὰ Εὐδήμεια,8.1,grc,"ἀπορήσειε δʼ ἄν τις, εἰ ἔστιν ἑκάστῳ φίλῳ χρήσασθαι καὶ ἐφʼ ᾧ πέφυκε καὶ ἄλλως, καὶ τοῦτο ἢ καθʼ αὑτὸ ἢ κατὰ συμβεβηκός, οἷον εἰ ὀφθαλμὸς ἰδεῖν ἢ καὶ ἄλλως παριδεῖν διαστρέψαντα, ὥστε δύο τὸ ἓν φανῆναι. αὗται μὲν δὴ  ἄμφω ὅτι μὲν ὀφθαλμός· "
concept_prohairesis_deliberate_choice_aristotle_c3d4e5f6,Prohairesis (Προαίρεσις),discusses Prohairesis (Προαίρεσις)?,0.95,passage_arist_met_11_8,Aristotle,τὰ Μετὰ τὰ Φυσικά,11.8,grc,"ἐπεὶ δὲ τὸ ἁπλῶς ὂν κατὰ πλείους λέγεται τρόπους, ὧν εἷς ἐστὶν ὁ κατὰ συμβεβηκὸς εἶναι λεγόμενος, σκεπτέον πρῶτον περὶ τοῦ οὕτως ὄντος. ὅτι μὲν οὖν οὐδεμία τῶν παραδεδομένων ἐπιστημῶν πραγματεύεται περὶ τὸ συμβεβηκός, δῆλον (οὔτε γὰρ οἰκοδο"
concept_prohairesis_deliberate_choice_aristotle_c3d4e5f6,Prohairesis (Προαίρεσις),discusses Prohairesis (Προαίρεσις)?,0.95,passage_alex_fat_5,Alexander of Aphrodisias,De Fato,De Fato 5,grc,"τούτων δ’ οὕτως ἐχόντων καὶ πάντων τῶν γινομένων εἰς τούτους τοὺς τρόπους νενεμημένων ἀκόλουθον ἐπὶ τούτοις ἰδεῖν, ἐν ποίῳ τῶν ποιητικῶν αἰτίων χρὴ τιθέναι τὴν εἱμαρμένην. ἆρά γε ἐν τοῖς οὐδενὸς γινομένοις χάριν; ἢ τοῦτο μὲν παντάπασιν ἄλογ"
concept_prohairesis_deliberate_choice_aristotle_c3d4e5f6,Prohairesis (Προαίρεσις),discusses Prohairesis (Προαίρεσις)?,0.95,passage_alex_fat_37,Alexander of Aphrodisias,De Fato,De Fato 37,grc,"ἴδωμεν δὲ καὶ τὸν ἐπὶ τούτῳ λόγον ἠρωτημένον, εἰ μὴ τὰς ὁμοίας ἀνάγκας ἔχει. λέγει δὲ οὕτως· οὐ πάντα μὲν ἔστι καθ’ εἱμαρμένην, οὐκ ἔστι δὲ ἀκώλυτος καὶ ἀπαρεμπόδιστος ἡ τοῦ κόσμου διοίκησις. οὐδὲ ἔστι μὲν τοῦτο, οὐκ ἔστι δὲ κόσμος, οὐδὲ ἔσ"
concept_synkatathesis_stoic_assent,"Synkatathesis (Stoic Assent, συγκατάθεσις)","discusses Synkatathesis (Stoic Assent, συγκατάθεσις)?",0.95,passage_alex_fat_26,Alexander of Aphrodisias,De Fato,De Fato 26,grc,"Ἃ δὲ ἀποροῦσιν πρὸς τὸ εἶναι τοιοῦτον τὸ ἐφ’ ἡμῖν, ὁποῖον ἡ κοινὴ πρόληψις τῶν ἀνθρώπων πεπίστευκεν, ἀπορεῖν μὲν οὐκ ἄλογον, τὸ δὲ τοῖς ἀπορουμένοις ἐποχουμένους ὡς ὁμολογουμένοις ἀναιρεῖν μέν, ἃ οὕτως ἐναργῆ, σκιαγραφίαν δέ τινα καὶ παιδιὰ"
concept_two_sidedness_eph_hemin,Bilatéralité du τὸ ἐφ' ἡμῖν (two-sidedness),discusses Bilatéralité du τὸ ἐφ' ἡμῖν (two-sidedness)?,0.95,passage_alex_fat_12,Alexander of Aphrodisias,De Fato,De Fato 12,grc,"Ἀναιρουμένου δὲ ὡς ἐδείχθη τοῦ βουλεύσασθαι κατ’ αὐτοὺς ἀναιρεῖται καὶ τὸ ἐφ’ ἡμῖν προδήλως. τοῦτο γὰρ ἐφ’ ἡμῖν πάντες, ὅσοι μὴ θέσει τινὶ παρίστανται, παρειλήφασιν εἶναι, οὗ ἡμεῖς μὲν καὶ τοῦ πραχθῆναι καὶ τοῦ μὴ πραχθῆναι κύριοι, οὐχ ἑπόμ"
concept_prohairesis_deliberate_choice_aristotle_c3d4e5f6,Prohairesis (Προαίρεσις),discusses Prohairesis (Προαίρεσις)?,0.95,passage_alex_fat_39,Alexander of Aphrodisias,De Fato,De Fato 39,grc,"Ταῦτα ὑμῖν, ὦ θειότατοι αὐτοκράτορες. τῆς Ἀριστοτέλους δόξης περί τε εἱμαρμένης καὶ τοῦ ἐφ’ ἡμῖν κατ’ ἐμὴν δόξαν τὰ κεφάλαια, καθ’ ἣν δοξάζοντες εἴς τε θεοὺς εὐσεβήσομεν, τὰ μὲν εἰδότες αὐτοῖς χάριν ἀνθ’ ὧν φθάνομεν ὑπ’ αὐτῶν εὖ πεπονθότες,"
concept_horme_alex,Hormē (ὁρμή),discusses Hormē (ὁρμή)?,0.95,passage_alex_fat_38,Alexander of Aphrodisias,De Fato,De Fato 38,grc,"ὅτι δὲ μηδὲ ἐκ τοῦ δεικνύναι τὴν καθ’ ὁρμὴν κίνησιν τοῖς ζῴοις μένουσαν πάντων γινομένων καθ’ εἱμαρμένην σώζουσιν τὸ ἐφ’ ἡμῖν, εἰ μὴ βούλοιτό τις ἀπλῶς τὸ ὑπό τινος κατὰ τὴν οἰκείαν γινόμενον φύσιν ἐπ’ ἐκείνῳ λέγειν ἄλλο τι σημαινόμενον τοῦ"
concept_plurality_goods_alex,"Plurality of Goods (Noble, Pleasant, Advanta","discusses Plurality of Goods (Noble, Pleasant, Advanta?",0.95,passage_alex_fat_15,Alexander of Aphrodisias,De Fato,De Fato 15,grc,"τὸ δ’ ἐποχουμένους τῷ εἰ δὴ τῶν αὐτῶν περιεστώτων ὁτὲ μὲν οὕτως ὁτὲ δὲ ἄλλως ἐνεργήσει τις, ἀναίτιον κίνησιν εἰσάγεσθαι’ διὰ τοῦτο λέγειν μὴ δύνασθαι οὗ πράξει τις πρᾶξαι τὸ ἀντικείμενον, μήποτε καὶ αὐτὸ τῶν ὁμοίως τοῖς προειρημένοις παρορω"
concept_synkatathesis_stoic_assent,"Synkatathesis (Stoic Assent, συγκατάθεσις)","discusses Synkatathesis (Stoic Assent, συγκατάθεσις)?",0.95,passage_alex_fat_15,Alexander of Aphrodisias,De Fato,De Fato 15,grc,"τὸ δ’ ἐποχουμένους τῷ εἰ δὴ τῶν αὐτῶν περιεστώτων ὁτὲ μὲν οὕτως ὁτὲ δὲ ἄλλως ἐνεργήσει τις, ἀναίτιον κίνησιν εἰσάγεσθαι’ διὰ τοῦτο λέγειν μὴ δύνασθαι οὗ πράξει τις πρᾶξαι τὸ ἀντικείμενον, μήποτε καὶ αὐτὸ τῶν ὁμοίως τοῖς προειρημένοις παρορω"
concept_horme_alex,Hormē (ὁρμή),discusses Hormē (ὁρμή)?,0.95,passage_arist_mm_2_6_25,Aristotle,Magna Moralia,2.6.25,grc,"ὅμοιον δὲ πέπονθε τούτῳ ὁ τῆς ὀργῆς ἀκρατής· ὅταν γὰρ ἀκούσῃ τὸ πρῶτον ῥῆμα ὅτι ἠδίκησεν, ὥρμησεν ὁ θυμὸς πρὸς τὸ τιμωρήσασθαι, οὐκέτι ἀναμείνας ἀκοῦσαι πότερον δεῖ ἢ οὐ δεῖ, ἢ ὅτι γε οὐχ οὕτω σφόδρα."
concept_external_principle_action,External Principle of Rational Action (ἔξωθε,discusses External Principle of Rational Action (ἔξωθε?,0.95,passage_alex_fat_4,Alexander of Aphrodisias,De Fato,De Fato 4,grc,"αἰτίων ποιήσασθαι τὸν λόγον. οὕτως γὰρ ἔσται γνώριμον, εἴ τε πάντων τῶν γινομένων χρὴ τὴν εἱμαρμένην αἰτιᾶσθαι, εἴ τε δεῖ καὶ ἄλλοις τισὶν παρὰ τήνδε συγχωρεῖν ὡς οὖσιν ποιητικοῖς τινων αἰτίοις. ἀπάντων δὴ τῶν γινομένων Ἀριστοτέλης ποιούμεν"
concept_prohairesis_deliberate_choice_aristotle_c3d4e5f6,Prohairesis (Προαίρεσις),discusses Prohairesis (Προαίρεσις)?,0.95,passage_alex_fat_6,Alexander of Aphrodisias,De Fato,De Fato 6,grc,"τό τε γὰρ εἱμαρμένον κατὰ φύσιν καὶ τὸ κατὰ φύσιν εἱμαρμένον. οὐ γὰρ κατὰ φύσιν μέν ἐστιν ἄνθρωπον ἐξ ἀνθρώπου καὶ ἵππον ἐξ ἵππου γίνεσθαι, οὐ καθ’ εἱμαρμένην δέ, ἀλλὰ συνοδεύει τὰ αἴτια ταῦτα ἀλλήλοις ὡς ἂν ἔχοντα κατὰ τοὔνομα μόνον τὴν δι"
