type,concept_id,concept_label,question,probability,passage_id,auteur,oeuvre,ref,langue,extrait
candidat_proche,concept_libertas_spontaneitatis_5g9b0c68,Liberty of Spontaneity (Libertas Spontaneita,discusses Liberty of Spontaneity (Libertas Spontaneita?,0.89,passage_alex_fat_15,Alexander of Aphrodisias,De Fato,De Fato 15,grc,"τὸ δ’ ἐποχουμένους τῷ εἰ δὴ τῶν αὐτῶν περιεστώτων ὁτὲ μὲν οὕτως ὁτὲ δὲ ἄλλως ἐνεργήσει τις, ἀναίτιον κίνησιν εἰσάγεσθαι’ διὰ τοῦτο λέγειν μὴ δύνασθαι οὗ πράξει τις πρᾶξαι τὸ ἀντικείμενον, μήποτε καὶ αὐτὸ τῶν ὁμοίως τοῖς προειρημένοις παρορω"
candidat_proche,concept_ancient_free_will_debate_structure_z6a7b8c9,Ancient Free Will Debate: Compatibilism vs. ,discusses Ancient Free Will Debate: Compatibilism vs. ?,0.89,passage_alex_fat_36,Alexander of Aphrodisias,De Fato,De Fato 36,grc,"ἀλλὰ ταῦτά γε εἰ μὲν ὑπό τινων αἰτίων περιεστώτων αὐτοῖς οὕτως ἀναγκάζονται λέγειν, συγγινώσκειν αὐτοῖς ἄξιον, καὶ οὐδὲν δεῖ οὔθ’ ἡμᾶς περὶ τῶν ὑπ’ ἐκείνων κατ’ ἀνάγκην λεγομένων πολυπραγμονεῖν οὔτε ἐκείνους περὶ τῶν οὐχ ὁμοίως αὐτοῖς λεγόν"
candidat_proche,concept_prohairesis_deliberate_choice_aristotle_c3d4e5f6,Prohairesis (Προαίρεσις),discusses Prohairesis (Προαίρεσις)?,0.89,passage_alex_fat_19,Alexander of Aphrodisias,De Fato,De Fato 19,grc,Ἐπαύσαντο δ’ ἂν τῆς ἐν τοῖς λόγοις φιλοτιμίας καὶ συγχωρησάντων εἶναι τὸ ἐφ’ ἡμῖν ἐλεύθερόν τε καὶ αὐτεξούσιον καὶ κύριον τῆς τῶν ἀντικειμένων αἱρέσεώς τε καὶ πράξεως [...] ἐπὶ περιεστῶσιν ἀνθρώποις δίκαιος γίνεσθαι πεπιστευμένος ὁμοίως ἰδι
candidat_proche,concept_mr2_ability_responsibility,MR2: Ability-based Moral Responsibility,discusses MR2: Ability-based Moral Responsibility?,0.89,passage_alex_fat_11,Alexander of Aphrodisias,De Fato,De Fato 11,grc,"Ἀκολουθεῖ δὲ τῷ πάντα τὰ γινόμενα προκαταβεβλημέναις καὶ ὡρισμέναις καὶ προυπαρχούσαις τισὶν αἰτίαις ἔσεσθαι τὸ καὶ βουλεύεσθαι τοὺς ἀνθρώπους μάτην περὶ τῶν πρακτέων αὐτοῖς. εἰ δὲ τὸ βουλεύεσθαι μάτην, μάτην ἂν ἄνθρωπος εἴη βουλευτικός. κα"
candidat_proche,concept_incompatibilism_ancient_o5p6q7r8,Ancient Incompatibilism,discusses Ancient Incompatibilism?,0.89,passage_alex_fat_11,Alexander of Aphrodisias,De Fato,De Fato 11,grc,"Ἀκολουθεῖ δὲ τῷ πάντα τὰ γινόμενα προκαταβεβλημέναις καὶ ὡρισμέναις καὶ προυπαρχούσαις τισὶν αἰτίαις ἔσεσθαι τὸ καὶ βουλεύεσθαι τοὺς ἀνθρώπους μάτην περὶ τῶν πρακτέων αὐτοῖς. εἰ δὲ τὸ βουλεύεσθαι μάτην, μάτην ἂν ἄνθρωπος εἴη βουλευτικός. κα"
candidat_proche,concept_to_eph_hemin_nemesius,To eph' hemin (τὸ ἐφ᾽ ἡμῖν) — Nemesius,discusses To eph' hemin (τὸ ἐφ᾽ ἡμῖν) — Nemesius?,0.88,passage_alex_fat_13,Alexander of Aphrodisias,De Fato,De Fato 13,grc,"τοιούτου δ’ ὄντος αὐτοῦ, τὸ μὲν δεικνύναι τοῦτο σωζόμενον κατὰ τοὺς πάντα λέγοντας γίνεσθαι καθ’ εἱμαρμένην οὐδὲ ἐπιχειροῦσιν τὴν ἀρχήν (ἴσασιν γὰρ ἐγχειρήσαντες ἀδυνάτοις), ὡς δὲ ἐπὶ τῆς τύχης ἄλλο τι σημαινόμενον ὑποθέντες τῷ τῆς τύχης ὀν"
candidat_proche,concept_two_sidedness_eph_hemin,Bilatéralité du τὸ ἐφ' ἡμῖν (two-sidedness),discusses Bilatéralité du τὸ ἐφ' ἡμῖν (two-sidedness)?,0.88,passage_alex_fat_32,Alexander of Aphrodisias,De Fato,De Fato 32,grc,"ἀλλὰ τῶν μὲν τοιούτων ἅλις (ἱκανὸν γὰρ ἐφ’ ἑκάστου τὸ ἐνδείξασθαι τὴν τῆς δόξης ἀτοπίαν), ἱκανῶς δ’ οἶμαι δεδηλῶσθαι, πῶς λέγεται τὸ ἐπὶ τῷ φρονίμῳ εἶναι τὸ φρονεῖν καίτοι μὴ δυναμένῳ μὴ φρονεῖν· οὐ γὰρ ὅτι νῦν, ὅτε ἐστὶ φρόνιμος, ἐπ’ αὐτῷ "
candidat_proche,concept_incompatibilism_ancient_o5p6q7r8,Ancient Incompatibilism,discusses Ancient Incompatibilism?,0.88,passage_alex_fat_5,Alexander of Aphrodisias,De Fato,De Fato 5,grc,"τούτων δ’ οὕτως ἐχόντων καὶ πάντων τῶν γινομένων εἰς τούτους τοὺς τρόπους νενεμημένων ἀκόλουθον ἐπὶ τούτοις ἰδεῖν, ἐν ποίῳ τῶν ποιητικῶν αἰτίων χρὴ τιθέναι τὴν εἱμαρμένην. ἆρά γε ἐν τοῖς οὐδενὸς γινομένοις χάριν; ἢ τοῦτο μὲν παντάπασιν ἄλογ"
candidat_proche,concept_ananke_necessity_democritus_h8i9j0k1,Ananke (Ἀνάγκη),discusses Ananke (Ἀνάγκη)?,0.88,passage_alex_fat_31,Alexander of Aphrodisias,De Fato,De Fato 31,grc,"ἀλλ’ οὐδὲ ἀφαιρούμεθα τῶν ἀνθρώπων τὸ ἀπὸ μαντικῆς χρήσιμον, ὃ γίνεται τῷ δύνασθαί τινα καὶ φυλάξασθαί τι, μὴ φυλαξάμενον ἂν μὴ συμβουλεύσαντος τοῦ θεοῦ· οἱ δὲ ὑμνοῦντες τὴν μαντικὴν καὶ κατὰ τὸν αὐτῶν λόγον μόνον σώζεσθαι λέγοντες αὐτήν, κ"
candidat_proche,concept_two_sidedness_eph_hemin,Bilatéralité du τὸ ἐφ' ἡμῖν (two-sidedness),discusses Bilatéralité du τὸ ἐφ' ἡμῖν (two-sidedness)?,0.88,passage_alex_fat_26,Alexander of Aphrodisias,De Fato,De Fato 26,grc,"Ἃ δὲ ἀποροῦσιν πρὸς τὸ εἶναι τοιοῦτον τὸ ἐφ’ ἡμῖν, ὁποῖον ἡ κοινὴ πρόληψις τῶν ἀνθρώπων πεπίστευκεν, ἀπορεῖν μὲν οὐκ ἄλογον, τὸ δὲ τοῖς ἀπορουμένοις ἐποχουμένους ὡς ὁμολογουμένοις ἀναιρεῖν μέν, ἃ οὕτως ἐναργῆ, σκιαγραφίαν δέ τινα καὶ παιδιὰ"
candidat_proche,concept_mr2_ability_responsibility,MR2: Ability-based Moral Responsibility,discusses MR2: Ability-based Moral Responsibility?,0.88,passage_alex_fat_17,Alexander of Aphrodisias,De Fato,De Fato 17,grc,"πῶς δ’ ἂν σώζοιεν τοιαῦτα λέγοντες τὴν ὑπὸ τῶν θεῶν γινομένην τῶν θνητῶν πρόνοιαν; εἰ γὰρ αἴ τε τῶν θεῶν ἐπιφάνειαι, ἅς φασιν γίνεσθαί τισιν, κατά τινα γίνονται προκαταβεβλημένην αἰτίαν, ὡς πρὸ τοῦ γενέσθαι τινὰ αὐτῶν ἀληθὲς εἶναι τὸ τοῦδε "
candidat_proche,concept_libertas_spontaneitatis_5g9b0c68,Liberty of Spontaneity (Libertas Spontaneita,discusses Liberty of Spontaneity (Libertas Spontaneita?,0.88,passage_cic_fat_25,Marcus Tullius Cicero,De Fato,Fat. 25,lat,"Rursus autem, ne omnes physici inrideant nos, si dicamus quicquam fieri sine causa, distinguendum est et ita dicendum, ipsius individui hanc esse naturam, ut pondere et gravitate moveatur, eamque ipsam esse causam, cur ita feratur. Similite"
candidat_proche,concept_incompatibilism_ancient_o5p6q7r8,Ancient Incompatibilism,discusses Ancient Incompatibilism?,0.88,passage_alex_fat_14,Alexander of Aphrodisias,De Fato,De Fato 14,grc,"ἔνεστι δ’ ὁρᾶν, εἰ ταῦτα λέγοντες σώζουσιν τὰς κοινὰς περὶ τοῦ ἐφ’ ἡμῖν πάντων ἀνθρώπων προλήψεις. οἱ γὰρ ἀπαιτοῦντες αὐτούς, πῶς οἷόν τε πάντων ὄντων καθ’ εἱμαρμένην τὸ ἐφ’ ἡμῖν σώζεσθαι, οὐκ ὄνομα μόνον τοῦ ἐφ’ ἡμῖν τιθέντες τοῦτ’ ἀπαιτοῦ"
candidat_proche,concept_autokrateia_alex,Self-Governance / αὐτεξούσιον (Alexander),discusses Self-Governance / αὐτεξούσιον (Alexander)?,0.88,passage_alex_fat_14,Alexander of Aphrodisias,De Fato,De Fato 14,grc,"ἔνεστι δ’ ὁρᾶν, εἰ ταῦτα λέγοντες σώζουσιν τὰς κοινὰς περὶ τοῦ ἐφ’ ἡμῖν πάντων ἀνθρώπων προλήψεις. οἱ γὰρ ἀπαιτοῦντες αὐτούς, πῶς οἷόν τε πάντων ὄντων καθ’ εἱμαρμένην τὸ ἐφ’ ἡμῖν σώζεσθαι, οὐκ ὄνομα μόνον τοῦ ἐφ’ ἡμῖν τιθέντες τοῦτ’ ἀπαιτοῦ"
candidat_proche,concept_mr1_autonomy_responsibility,MR1: Autonomy-based Moral Responsibility,discusses MR1: Autonomy-based Moral Responsibility?,0.88,passage_alex_fat_14,Alexander of Aphrodisias,De Fato,De Fato 14,grc,"ἔνεστι δ’ ὁρᾶν, εἰ ταῦτα λέγοντες σώζουσιν τὰς κοινὰς περὶ τοῦ ἐφ’ ἡμῖν πάντων ἀνθρώπων προλήψεις. οἱ γὰρ ἀπαιτοῦντες αὐτούς, πῶς οἷόν τε πάντων ὄντων καθ’ εἱμαρμένην τὸ ἐφ’ ἡμῖν σώζεσθαι, οὐκ ὄνομα μόνον τοῦ ἐφ’ ἡμῖν τιθέντες τοῦτ’ ἀπαιτοῦ"
candidat_proche,concept_stoic_causal_principle,"Stoic Causal Principle (Same Causes, Same Ef","discusses Stoic Causal Principle (Same Causes, Same Ef?",0.88,passage_alex_fat_15,Alexander of Aphrodisias,De Fato,De Fato 15,grc,"τὸ δ’ ἐποχουμένους τῷ εἰ δὴ τῶν αὐτῶν περιεστώτων ὁτὲ μὲν οὕτως ὁτὲ δὲ ἄλλως ἐνεργήσει τις, ἀναίτιον κίνησιν εἰσάγεσθαι’ διὰ τοῦτο λέγειν μὴ δύνασθαι οὗ πράξει τις πρᾶξαι τὸ ἀντικείμενον, μήποτε καὶ αὐτὸ τῶν ὁμοίως τοῖς προειρημένοις παρορω"
candidat_proche,concept_ananke_necessity_democritus_h8i9j0k1,Ananke (Ἀνάγκη),discusses Ananke (Ἀνάγκη)?,0.88,passage_arist_phys_6_2,Aristotle,Physica,6.2,grc,"Ἐπεὶ δὲ πᾶν μέγεθος εἰς μεγέθη διαιρετόν (δέδεικται γὰρ ὅτι ἀδύνατον ἐξ ἀτόμων εἶναί τι συνεχές, μέγεθος δʼ ἐστὶν ἅπαν συνεχές), ἀνάγκη τὸ θᾶττον ἐν τῷ ἴσῳ χρόνῳ μεῖζον καὶ ἐν τῶ ἐλάττονι ἴσον καὶ ἐν τῷ ἐλάττονι πλεῖον κινεῖσθαι, καθάπερ ὁρ"
candidat_proche,concept_ananke_necessity_democritus_h8i9j0k1,Ananke (Ἀνάγκη),discusses Ananke (Ἀνάγκη)?,0.88,passage_arist_ee_2_8,Aristotle,Ἠθικὰ Εὐδήμεια,2.8,grc,"ὅτι μὲν τοίνυν οὐκ ἔστι τὸ ἑκούσιον τὸ κατὰ ὄρεξιν πράττειν, οὐδʼ ἀκούσιον τὸ παρὰ τὴν ὄρεξιν, φανερόν· ὅτι δʼ οὐδὲ κατὰ προαίρεσιν, πάλιν ἐκ τῶνδε δῆλον. τὸ μὲν γὰρ κατὰ βούλησιν ὡς οὐκ ἀκούσιον ἀπεδείχθη,   ἀλλὰ μᾶλλον πᾶν ὃ βούλεται καὶ "
candidat_proche,concept_stoic_causal_principle,"Stoic Causal Principle (Same Causes, Same Ef","discusses Stoic Causal Principle (Same Causes, Same Ef?",0.88,passage_alex_fat_36,Alexander of Aphrodisias,De Fato,De Fato 36,grc,"ἀλλὰ ταῦτά γε εἰ μὲν ὑπό τινων αἰτίων περιεστώτων αὐτοῖς οὕτως ἀναγκάζονται λέγειν, συγγινώσκειν αὐτοῖς ἄξιον, καὶ οὐδὲν δεῖ οὔθ’ ἡμᾶς περὶ τῶν ὑπ’ ἐκείνων κατ’ ἀνάγκην λεγομένων πολυπραγμονεῖν οὔτε ἐκείνους περὶ τῶν οὐχ ὁμοίως αὐτοῖς λεγόν"
candidat_proche,concept_synergism,Synergism (Synergy),discusses Synergism (Synergy)?,0.88,passage_arist_mm_2_3_13,Aristotle,Magna Moralia,2.3.13,grc,"οὐδ' ἐναντιώσεται ἀρετὴ ἀρετῇ. πέφυκεν γὰρ ὑπείκειν τῷ λόγῳ, [ἢ] ὡς οὗτος προστάττει, ὥστ' ἐφ' ὃ ἂν οὗτος ἄγῃ, ἐπὶ τοῦτο ἀποκλίνει. τὸ γὰρ βέλτιον οὗτός ἐστιν ὁ αἱρούμενος. οὔτε γὰρ ἄνευ τῆς φρονήσεως αἱ ἄλλαι ἀρεταὶ γίνονται, οὔθ' ἡ φρόνησ"
candidat_proche,concept_ancient_free_will_debate_structure_z6a7b8c9,Ancient Free Will Debate: Compatibilism vs. ,discusses Ancient Free Will Debate: Compatibilism vs. ?,0.88,passage_alex_fat_34,Alexander of Aphrodisias,De Fato,De Fato 34,grc,"πῶς δ’ οὐκ ἀγνοούντων τὰ ὑφ’ αὑτῶν γινόμενα τὸ τῇ ἀληθείᾳ τῶν γινομένων, ἣν ἀναιροῦσιν διὰ τοῦ δόγματος, αὐτῇ κεχρῆσθαι πρὸς κατασκευὴν τοῦ ἀναιροῦντος αὐτὴν δόγματος; λαβόντες γὰρ τὸ ἕκαστον τῶν συνεστώτων φύσει καθ’ εἱμαρμένην εἶναι τοιοῦ"
candidat_proche,concept_bechirah_c1d2e3f4,Choice/Free Will (Bechirah),discusses Choice/Free Will (Bechirah)?,0.88,passage_aug_dla_3_16_45,Augustine,De libero arbitrio,3.16.45,lat,"Deus autem nulli debet aliquid, quia omnia gratuito praestat. Et si quisquam dicet ab illo aliquid deberi meritis suis, certe ut esset, non ei debebatur. Non enim erat cui deberetur. Et tamen, quod meritum est converti ad eum ex quo es, ut "
candidat_proche,concept_mr1_autonomy_responsibility,MR1: Autonomy-based Moral Responsibility,discusses MR1: Autonomy-based Moral Responsibility?,0.88,passage_alex_fat_21,Alexander of Aphrodisias,De Fato,De Fato 21,grc,"μηδὲ ἐκεῖνο δὲ ἡμῖν ἀνεξέταστον παραλελείφθω, εἴ τις ὑποθοῖτο, μηδὲν μᾶλλον ἀληθῆ εἶναι τὸ εἶναί τι οὕτως ἐφ’ ἡμῖν, ὡς ἡμεῖς τε ἀξιοῦμεν καὶ ἡ τῶν πραγμάτων φύσις ἔχειν μαρτυρεῖ, τοῦ πάντα ἐξ ἀνάγκης τε γίνεσθαι καὶ καθ’ εἱμαρμένην, ἀλλ’ εἶ"
candidat_proche,concept_prohairesis_deliberate_choice_aristotle_c3d4e5f6,Prohairesis (Προαίρεσις),discusses Prohairesis (Προαίρεσις)?,0.87,passage_arist_ne_7_3,Aristotle,Ἠθικὰ Νικομάχεια,7.3,grc,"πρῶτον μὲν οὖν σκεπτέον πότερον εἰδότες ἢ οὔ, καὶ πῶς εἰδότες· εἶτα περὶ ποῖα τὸν ἀκρατῆ καὶ τὸν ἐγκρατῆ θετέον, λέγω δὲ πότερον περὶ πᾶσαν ἡδονὴν καὶ λύπην ἢ περί τινας ἀφωρισμένας, καὶ τὸν ἐγκρατῆ καὶ τὸν καρτερικόν, πότερον ὁ αὐτὸς ἢ ἕτε"
candidat_proche,concept_liberum_arbitrium_u3v4w5x6,Free Choice (Liberum Arbitrium),discusses Free Choice (Liberum Arbitrium)?,0.87,passage_alex_fat_18,Alexander of Aphrodisias,De Fato,De Fato 18,grc,"ἀλλ’ ὅτι μὲν τὸ δόγμα τοῦτο ἀνατροπῆς αἴτιον παντὸς τοῦ τῶν ἀνθρώπων βίου, παντί που μαθεῖν ῥᾴδιον, ὅτι δὲ καὶ ψεῦδος, ἱκανὸν μαρτύριον τὸ μηδ’ αὐτοὺς τοὺς προστάτας αὐτοῦ δύνασθαι πείθεσθαι τοῖς ὑφ’ αὐτῶν λεγομένοις. οὕτω γὰρ ἐν πᾶσι τοῖς "
candidat_proche,concept_voluntas_y7z8a9b0,Will (Voluntas),discusses Will (Voluntas)?,0.87,passage_aug_civ_xii_iii,Augustine,De Civitate Dei,XII.III.1,lat,"Dicuntur autem in scripturis inimici Dei, qui non natura, sed uitiis aduersantur eius imperio, nihil ei ualentes nocere, sed sibi. Inimici enim sunt resistendi uoluntate, non potestate laedendi. Deus namque inmutabilis est et omni modo inco"
candidat_proche,concept_incompatibilism_ancient_o5p6q7r8,Ancient Incompatibilism,discusses Ancient Incompatibilism?,0.87,passage_alex_fat_37,Alexander of Aphrodisias,De Fato,De Fato 37,grc,"ἴδωμεν δὲ καὶ τὸν ἐπὶ τούτῳ λόγον ἠρωτημένον, εἰ μὴ τὰς ὁμοίας ἀνάγκας ἔχει. λέγει δὲ οὕτως· οὐ πάντα μὲν ἔστι καθ’ εἱμαρμένην, οὐκ ἔστι δὲ ἀκώλυτος καὶ ἀπαρεμπόδιστος ἡ τοῦ κόσμου διοίκησις. οὐδὲ ἔστι μὲν τοῦτο, οὐκ ἔστι δὲ κόσμος, οὐδὲ ἔσ"
candidat_proche,concept_mr1_autonomy_responsibility,MR1: Autonomy-based Moral Responsibility,discusses MR1: Autonomy-based Moral Responsibility?,0.87,passage_alex_fat_17,Alexander of Aphrodisias,De Fato,De Fato 17,grc,"πῶς δ’ ἂν σώζοιεν τοιαῦτα λέγοντες τὴν ὑπὸ τῶν θεῶν γινομένην τῶν θνητῶν πρόνοιαν; εἰ γὰρ αἴ τε τῶν θεῶν ἐπιφάνειαι, ἅς φασιν γίνεσθαί τισιν, κατά τινα γίνονται προκαταβεβλημένην αἰτίαν, ὡς πρὸ τοῦ γενέσθαι τινὰ αὐτῶν ἀληθὲς εἶναι τὸ τοῦδε "
candidat_proche,concept_fate_principle_bobzien,"Principe du Destin (Fate Principle, Bobzien ","discusses Principe du Destin (Fate Principle, Bobzien ?",0.87,passage_alex_fat_38,Alexander of Aphrodisias,De Fato,De Fato 38,grc,"ὅτι δὲ μηδὲ ἐκ τοῦ δεικνύναι τὴν καθ’ ὁρμὴν κίνησιν τοῖς ζῴοις μένουσαν πάντων γινομένων καθ’ εἱμαρμένην σώζουσιν τὸ ἐφ’ ἡμῖν, εἰ μὴ βούλοιτό τις ἀπλῶς τὸ ὑπό τινος κατὰ τὴν οἰκείαν γινόμενον φύσιν ἐπ’ ἐκείνῳ λέγειν ἄλλο τι σημαινόμενον τοῦ"
candidat_proche,concept_incompatibilism_ancient_o5p6q7r8,Ancient Incompatibilism,discusses Ancient Incompatibilism?,0.87,passage_alex_fat_38,Alexander of Aphrodisias,De Fato,De Fato 38,grc,"ὅτι δὲ μηδὲ ἐκ τοῦ δεικνύναι τὴν καθ’ ὁρμὴν κίνησιν τοῖς ζῴοις μένουσαν πάντων γινομένων καθ’ εἱμαρμένην σώζουσιν τὸ ἐφ’ ἡμῖν, εἰ μὴ βούλοιτό τις ἀπλῶς τὸ ὑπό τινος κατὰ τὴν οἰκείαν γινόμενον φύσιν ἐπ’ ἐκείνῳ λέγειν ἄλλο τι σημαινόμενον τοῦ"
candidat_proche,concept_self_happiness_alex,Self-Achieved Happiness (Alexander),discusses Self-Achieved Happiness (Alexander)?,0.87,passage_arist_ee_1_3,Aristotle,Ἠθικὰ Εὐδήμεια,1.3,grc,"πάσας μὲν οὖν τὰς δόξας ἐπισκοπεῖν, ὅσας ἔχουσί τινες περὶ αὐτῆς, περίεργον (πολλὰ γὰρ φαίνεται καὶ τοῖς  παιδαρίοις καὶ τοῖς κάμνουσι καὶ παραφρονοῦσι, περὶ ὧν ἂν οὐθεὶς νοῦν ἔχων διαπορήσειεν· δέονται γὰρ οὐ λόγων, ἀλλʼ οἳ μὲν ἡλικίας ἐν "
