concept_id,concept_label,question,probability,passage_id,auteur,oeuvre,ref,langue,extrait
concept_liberum_arbitrium_u3v4w5x6,Free Choice (Liberum Arbitrium),discusses Free Choice (Liberum Arbitrium)?,0.05,passage_aug_lib_arb_2_13_35,Augustine,De Libero Arbitrio,2.13.35,lat,"Promiseram autem, si meministi, me tibi demonstraturum esse aliquid quod sit mente nostra atque ratione sublimius. Ecce tibi est ipsa veritas: amplectere illam si potes, et fruere illa, et delectare in Domino, et dabit tibi petitiones cordi"
concept_divine_prescience,Divine Prescience (πρόγνωσις),discusses Divine Prescience (πρόγνωσις)?,0.05,passage_alex_fat_27,Alexander of Aphrodisias,De Fato,De Fato 27,grc,"οἱ συγχωρήσαντες ἀναποβλήτους τὰς ἀρετάς τε καὶ τὰς κακίας εἶναι, ἴσως προχειρότερον λαμβανόμενον λέγοιμεν ἂν κατὰ τοῦτο τὰς ἕξεις ἐπὶ τοῖς ἔχουσιν εἶναι, καθόσον πρὸ τοῦ λαβεῖν αὐτὰς ἐπ’ αὐτοῖς ἦν καὶ μὴ λαβεῖν. οἵ τε γὰρ τὰς ἀρετὰς ἔχοντε"
concept_voluntas_y7z8a9b0,Will (Voluntas),discusses Will (Voluntas)?,0.06,passage_aug_lib_arb_2_18_50,Augustine,De Libero Arbitrio,2.18.50,lat,"Intueris enim iustitiam, qua nemo male utitur. Haec inter summa bona quae in ipso sunt homine numeratur, omnesque virtutes animi quibus ipsa recta vita et honesta constat. Nam neque prudentia, neque fortitudine, neque temperantia male quis "
concept_endechomenon_contingent_aristotle_e5f6g7h8,To Endechomenon (Τὸ ἐνδεχόμενον),discusses To Endechomenon (Τὸ ἐνδεχόμενον)?,0.06,passage_alex_fat_3,Alexander of Aphrodisias,De Fato,De Fato 3,grc,"ὅτι μὲν οὖν 8 αἰτίαν τινὰ τὴν εἱμαρμένην τοῖς γινομένοις εἶναι λέγουσιν πάντες οἱ περὶ εἱμαρμένης λέγοντές τι, γνώριμον (ταύτην γὰρ ἀποδιδόασίν τε καί φασιν αἰτίαν εἶναι τοῦ γίνεσθαι τὰ γινόμενα ὃν τρόπον γίνεται), ἐπεὶ δὲ πλεοναχῶς λέγεται"
concept_tuche_chance_alex,Alexandrian Definition of Chance (τύχη),discusses Alexandrian Definition of Chance (τύχη)?,0.06,passage_alex_fat_12,Alexander of Aphrodisias,De Fato,De Fato 12,grc,"Ἀναιρουμένου δὲ ὡς ἐδείχθη τοῦ βουλεύσασθαι κατ’ αὐτοὺς ἀναιρεῖται καὶ τὸ ἐφ’ ἡμῖν προδήλως. τοῦτο γὰρ ἐφ’ ἡμῖν πάντες, ὅσοι μὴ θέσει τινὶ παρίστανται, παρειλήφασιν εἶναι, οὗ ἡμεῖς μὲν καὶ τοῦ πραχθῆναι καὶ τοῦ μὴ πραχθῆναι κύριοι, οὐχ ἑπόμ"
concept_heimarmene_fate_stoics_j0k1l2m3,Heimarmenê (Εἱμαρμένη),discusses Heimarmenê (Εἱμαρμένη)?,0.06,passage_alex_fat_15,Alexander of Aphrodisias,De Fato,De Fato 15,grc,"τὸ δ’ ἐποχουμένους τῷ εἰ δὴ τῶν αὐτῶν περιεστώτων ὁτὲ μὲν οὕτως ὁτὲ δὲ ἄλλως ἐνεργήσει τις, ἀναίτιον κίνησιν εἰσάγεσθαι’ διὰ τοῦτο λέγειν μὴ δύνασθαι οὗ πράξει τις πρᾶξαι τὸ ἀντικείμενον, μήποτε καὶ αὐτὸ τῶν ὁμοίως τοῖς προειρημένοις παρορω"
concept_liberum_arbitrium_u3v4w5x6,Free Choice (Liberum Arbitrium),discusses Free Choice (Liberum Arbitrium)?,0.06,passage_aug_lib_arb_2_11_31,Augustine,De Libero Arbitrio,2.11.31,lat,"Sed quia dedit numeros omnibus rebus etiam infimis, et in fine rerum locatis; et corpora enim omnia quamvis in rebus extrema sint, habent numeros suos; sapere autem non dedit corporibus, neque animis omnibus, sed tantum rationalibus, tamqua"
concept_eph_hemin_in_our_power_aristotle_d4e5f6g7,To Eph' Hêmin (Τὸ ἐφ' ἡμῖν),discusses To Eph' Hêmin (Τὸ ἐφ' ἡμῖν)?,0.07,passage_alex_fat_8,Alexander of Aphrodisias,De Fato,De Fato 8,grc,"Λέγεται δὴ πρὸς ἁπάντων ἀνθρώπων κοιναῖς τε καὶ φυσικαῖς ἐννοίαις ἐμμενόντων ταῦτα ἀπὸ τύχης τε καὶ τοῦ αὐτομάτου γίνεσθαι, ἃ αἰτίαις ἄλλων τινῶν ποιητικαῖς προηγουμέναις ἐπιγίνεται. ὅταν γὰρ ἄλλου τινὸς χάριν γινομένῳ τινὶ μὴ τοῦτο ἀπαντήσ"
concept_eph_hemin_in_our_power_aristotle_d4e5f6g7,To Eph' Hêmin (Τὸ ἐφ' ἡμῖν),discusses To Eph' Hêmin (Τὸ ἐφ' ἡμῖν)?,0.08,passage_alex_fat_23,Alexander of Aphrodisias,De Fato,De Fato 23,grc,"ἔτι δὲ τὸ ψεῦδος τῶν λεγομένων οὐ λόγων τινῶν οὐδὲ ἐλέγχων ἔξωθεν δεόμενον, ἀλλ’ αὐτόθεν γνώριμον. τίς γὰρ ἔλεγχος λόγου φανερώτερος τοῦ μὴ ἐφαρμόζειν τούτοις περὶ ὧν λέγεται; τὸ γοῦν πρῶτον εἰρημένον ὡς πάντων τῶν ὄντων αἰτίων τινῶν γινομέ"
concept_liberum_arbitrium_u3v4w5x6,Free Choice (Liberum Arbitrium),discusses Free Choice (Liberum Arbitrium)?,0.09,passage_aug_lib_arb_2_18_50,Augustine,De Libero Arbitrio,2.18.50,lat,"Intueris enim iustitiam, qua nemo male utitur. Haec inter summa bona quae in ipso sunt homine numeratur, omnesque virtutes animi quibus ipsa recta vita et honesta constat. Nam neque prudentia, neque fortitudine, neque temperantia male quis "
concept_eph_hemin_in_our_power_aristotle_d4e5f6g7,To Eph' Hêmin (Τὸ ἐφ' ἡμῖν),discusses To Eph' Hêmin (Τὸ ἐφ' ἡμῖν)?,0.09,passage_alex_fat_25,Alexander of Aphrodisias,De Fato,De Fato 25,grc,πῶς γὰρ οὐ φανερῶς τὸ λέγειν ψεῦδος πᾶν τὸ ἑπόμενόν τινι ἐξ ἐκείνου τὴν αἰτίαν τοῦ εἶναι ἔχειν καὶ πᾶν τὸ προηγούμενόν τινος αἴτιον ὑπάρχειν ἐκείνῳ; ὁρῶμεν γὰρ ὅτι τὰ ἐφεξῆς ἀλλήλοις ὄντα τῷ χρόνῳ οὐ πάντα διὰ τὰ ἔμπροσθεν καὶ πρὸ αὐτῶν γεγ
concept_four_categories_alex,Four Categories of Sublunary Events (Alexand,discusses Four Categories of Sublunary Events (Alexand?,0.09,passage_alex_fat_14,Alexander of Aphrodisias,De Fato,De Fato 14,grc,"ἔνεστι δ’ ὁρᾶν, εἰ ταῦτα λέγοντες σώζουσιν τὰς κοινὰς περὶ τοῦ ἐφ’ ἡμῖν πάντων ἀνθρώπων προλήψεις. οἱ γὰρ ἀπαιτοῦντες αὐτούς, πῶς οἷόν τε πάντων ὄντων καθ’ εἱμαρμένην τὸ ἐφ’ ἡμῖν σώζεσθαι, οὐκ ὄνομα μόνον τοῦ ἐφ’ ἡμῖν τιθέντες τοῦτ’ ἀπαιτοῦ"
concept_endechomenon_contingent_aristotle_e5f6g7h8,To Endechomenon (Τὸ ἐνδεχόμενον),discusses To Endechomenon (Τὸ ἐνδεχόμενον)?,0.09,passage_alex_fat_4,Alexander of Aphrodisias,De Fato,De Fato 4,grc,"αἰτίων ποιήσασθαι τὸν λόγον. οὕτως γὰρ ἔσται γνώριμον, εἴ τε πάντων τῶν γινομένων χρὴ τὴν εἱμαρμένην αἰτιᾶσθαι, εἴ τε δεῖ καὶ ἄλλοις τισὶν παρὰ τήνδε συγχωρεῖν ὡς οὖσιν ποιητικοῖς τινων αἰτίοις. ἀπάντων δὴ τῶν γινομένων Ἀριστοτέλης ποιούμεν"
concept_endechomenon_contingent_aristotle_e5f6g7h8,To Endechomenon (Τὸ ἐνδεχόμενον),discusses To Endechomenon (Τὸ ἐνδεχόμενον)?,0.1,passage_alex_fat_25,Alexander of Aphrodisias,De Fato,De Fato 25,grc,πῶς γὰρ οὐ φανερῶς τὸ λέγειν ψεῦδος πᾶν τὸ ἑπόμενόν τινι ἐξ ἐκείνου τὴν αἰτίαν τοῦ εἶναι ἔχειν καὶ πᾶν τὸ προηγούμενόν τινος αἴτιον ὑπάρχειν ἐκείνῳ; ὁρῶμεν γὰρ ὅτι τὰ ἐφεξῆς ἀλλήλοις ὄντα τῷ χρόνῳ οὐ πάντα διὰ τὰ ἔμπροσθεν καὶ πρὸ αὐτῶν γεγ
concept_heimarmene_fate_stoics_j0k1l2m3,Heimarmenê (Εἱμαρμένη),discusses Heimarmenê (Εἱμαρμένη)?,0.1,passage_alex_fat_9,Alexander of Aphrodisias,De Fato,De Fato 9,grc,"Καὶ τοιαῦτα μὲν τὰ περὶ τῆς τύχης ὑπ’ αὐτῶν λεγόμενα καὶ οὕτως τοῖς κειμένοις συνᾴδοντα· ὅτι δὲ καὶ τὸ ἐνδεχόμενόν τε καὶ τὸ ὁπότερ’ ἔτυχεν γίνεσθαί τινα ὑπὸ τῶν πάντα ἐξ ἀνάγκης γίνεσθαι λεγόντων ἀναιρεῖται, αὐτόθεν πρόδηλον, εἴ γε ταῦτα μ"
concept_external_principle_action,External Principle of Rational Action (ἔξωθε,discusses External Principle of Rational Action (ἔξωθε?,0.1,passage_alex_fat_15,Alexander of Aphrodisias,De Fato,De Fato 15,grc,"τὸ δ’ ἐποχουμένους τῷ εἰ δὴ τῶν αὐτῶν περιεστώτων ὁτὲ μὲν οὕτως ὁτὲ δὲ ἄλλως ἐνεργήσει τις, ἀναίτιον κίνησιν εἰσάγεσθαι’ διὰ τοῦτο λέγειν μὴ δύνασθαι οὗ πράξει τις πρᾶξαι τὸ ἀντικείμενον, μήποτε καὶ αὐτὸ τῶν ὁμοίως τοῖς προειρημένοις παρορω"
concept_eph_hemin_in_our_power_aristotle_d4e5f6g7,To Eph' Hêmin (Τὸ ἐφ' ἡμῖν),discusses To Eph' Hêmin (Τὸ ἐφ' ἡμῖν)?,0.1,passage_alex_fat_22,Alexander of Aphrodisias,De Fato,De Fato 22,grc,"Οὐ χεῖρον δέ, τούτων προτεθεωρημένων καὶ αὐτὰ τὰ περὶ τῆς εἱμαρμένης ὑπ’ αὐτῶν λεγόμενα παραθεμένους ἰδεῖν, εἴ τινα τοιαύτην ἔχει βίαν, ὡς εὔλογον εἶναι διὰ τὴν πρὸς τὸ ἀληθὲς οἰκειότητα καὶ τῶν ἐναργῶν οὕτως ὑπερορᾶν. ἔσται δὲ ἡμῖν καὶ ὁ π"
concept_endechomenon_contingent_aristotle_e5f6g7h8,To Endechomenon (Τὸ ἐνδεχόμενον),discusses To Endechomenon (Τὸ ἐνδεχόμενον)?,0.1,passage_alex_fat_35,Alexander of Aphrodisias,De Fato,De Fato 35,grc,"μηδὲ ἐκεῖνον δὲ παραλείπωμεν τὸν λόγον, ᾧ θαρροῦσιν ὡς δεικνύναι δυναμένου τῶν προκειμένων τι. λέγουσιν γὰρ οὐ γὰρ ἔστι μὲν τοιαύτη ἡ εἱμαρμένη, οὐκ ἔστι δὲ πεπρωμένη, * * * οὐκ ἔστι δὲ αἶσα, οὐδὲ ἔστι μὲν αἶσα, οὐκ ἔστι δὲ νέμεσις, οὐδὲ ἔσ"
concept_hypothetical_fate_middle_platonist,Hypothetical Fate (ex hypotheseos),discusses Hypothetical Fate (ex hypotheseos)?,0.11,passage_alex_fat_31,Alexander of Aphrodisias,De Fato,De Fato 31,grc,"ἀλλ’ οὐδὲ ἀφαιρούμεθα τῶν ἀνθρώπων τὸ ἀπὸ μαντικῆς χρήσιμον, ὃ γίνεται τῷ δύνασθαί τινα καὶ φυλάξασθαί τι, μὴ φυλαξάμενον ἂν μὴ συμβουλεύσαντος τοῦ θεοῦ· οἱ δὲ ὑμνοῦντες τὴν μαντικὴν καὶ κατὰ τὸν αὐτῶν λόγον μόνον σώζεσθαι λέγοντες αὐτήν, κ"
concept_tuche_chance_alex,Alexandrian Definition of Chance (τύχη),discusses Alexandrian Definition of Chance (τύχη)?,0.11,passage_alex_fat_19,Alexander of Aphrodisias,De Fato,De Fato 19,grc,Ἐπαύσαντο δ’ ἂν τῆς ἐν τοῖς λόγοις φιλοτιμίας καὶ συγχωρησάντων εἶναι τὸ ἐφ’ ἡμῖν ἐλεύθερόν τε καὶ αὐτεξούσιον καὶ κύριον τῆς τῶν ἀντικειμένων αἱρέσεώς τε καὶ πράξεως [...] ἐπὶ περιεστῶσιν ἀνθρώποις δίκαιος γίνεσθαι πεπιστευμένος ὁμοίως ἰδι
concept_heimarmene_fate_stoics_j0k1l2m3,Heimarmenê (Εἱμαρμένη),discusses Heimarmenê (Εἱμαρμένη)?,0.12,passage_alex_fat_18,Alexander of Aphrodisias,De Fato,De Fato 18,grc,"ἀλλ’ ὅτι μὲν τὸ δόγμα τοῦτο ἀνατροπῆς αἴτιον παντὸς τοῦ τῶν ἀνθρώπων βίου, παντί που μαθεῖν ῥᾴδιον, ὅτι δὲ καὶ ψεῦδος, ἱκανὸν μαρτύριον τὸ μηδ’ αὐτοὺς τοὺς προστάτας αὐτοῦ δύνασθαι πείθεσθαι τοῖς ὑφ’ αὐτῶν λεγομένοις. οὕτω γὰρ ἐν πᾶσι τοῖς "
concept_non_necessitating_cause_alex,Non-Necessitating Cause (modern rendering: α,discusses Non-Necessitating Cause (modern rendering: α?,0.12,passage_alex_fat_3,Alexander of Aphrodisias,De Fato,De Fato 3,grc,"ὅτι μὲν οὖν 8 αἰτίαν τινὰ τὴν εἱμαρμένην τοῖς γινομένοις εἶναι λέγουσιν πάντες οἱ περὶ εἱμαρμένης λέγοντές τι, γνώριμον (ταύτην γὰρ ἀποδιδόασίν τε καί φασιν αἰτίαν εἶναι τοῦ γίνεσθαι τὰ γινόμενα ὃν τρόπον γίνεται), ἐπεὶ δὲ πλεοναχῶς λέγεται"
concept_heimarmene_fate_stoics_j0k1l2m3,Heimarmenê (Εἱμαρμένη),discusses Heimarmenê (Εἱμαρμένη)?,0.12,passage_alex_fat_25,Alexander of Aphrodisias,De Fato,De Fato 25,grc,πῶς γὰρ οὐ φανερῶς τὸ λέγειν ψεῦδος πᾶν τὸ ἑπόμενόν τινι ἐξ ἐκείνου τὴν αἰτίαν τοῦ εἶναι ἔχειν καὶ πᾶν τὸ προηγούμενόν τινος αἴτιον ὑπάρχειν ἐκείνῳ; ὁρῶμεν γὰρ ὅτι τὰ ἐφεξῆς ἀλλήλοις ὄντα τῷ χρόνῳ οὐ πάντα διὰ τὰ ἔμπροσθεν καὶ πρὸ αὐτῶν γεγ
concept_kyrios_alex,Kyrios (κύριος),discusses Kyrios (κύριος)?,0.13,passage_alex_fat_9,Alexander of Aphrodisias,De Fato,De Fato 9,grc,"Καὶ τοιαῦτα μὲν τὰ περὶ τῆς τύχης ὑπ’ αὐτῶν λεγόμενα καὶ οὕτως τοῖς κειμένοις συνᾴδοντα· ὅτι δὲ καὶ τὸ ἐνδεχόμενόν τε καὶ τὸ ὁπότερ’ ἔτυχεν γίνεσθαί τινα ὑπὸ τῶν πάντα ἐξ ἀνάγκης γίνεσθαι λεγόντων ἀναιρεῖται, αὐτόθεν πρόδηλον, εἴ γε ταῦτα μ"
concept_endechomenon_contingent_aristotle_e5f6g7h8,To Endechomenon (Τὸ ἐνδεχόμενον),discusses To Endechomenon (Τὸ ἐνδεχόμενον)?,0.13,passage_alex_fat_14,Alexander of Aphrodisias,De Fato,De Fato 14,grc,"ἔνεστι δ’ ὁρᾶν, εἰ ταῦτα λέγοντες σώζουσιν τὰς κοινὰς περὶ τοῦ ἐφ’ ἡμῖν πάντων ἀνθρώπων προλήψεις. οἱ γὰρ ἀπαιτοῦντες αὐτούς, πῶς οἷόν τε πάντων ὄντων καθ’ εἱμαρμένην τὸ ἐφ’ ἡμῖν σώζεσθαι, οὐκ ὄνομα μόνον τοῦ ἐφ’ ἡμῖν τιθέντες τοῦτ’ ἀπαιτοῦ"
concept_eph_hemin_in_our_power_aristotle_d4e5f6g7,To Eph' Hêmin (Τὸ ἐφ' ἡμῖν),discusses To Eph' Hêmin (Τὸ ἐφ' ἡμῖν)?,0.13,passage_alex_fat_4,Alexander of Aphrodisias,De Fato,De Fato 4,grc,"αἰτίων ποιήσασθαι τὸν λόγον. οὕτως γὰρ ἔσται γνώριμον, εἴ τε πάντων τῶν γινομένων χρὴ τὴν εἱμαρμένην αἰτιᾶσθαι, εἴ τε δεῖ καὶ ἄλλοις τισὶν παρὰ τήνδε συγχωρεῖν ὡς οὖσιν ποιητικοῖς τινων αἰτίοις. ἀπάντων δὴ τῶν γινομένων Ἀριστοτέλης ποιούμεν"
concept_divine_prescience,Divine Prescience (πρόγνωσις),discusses Divine Prescience (πρόγνωσις)?,0.13,passage_alex_fat_23,Alexander of Aphrodisias,De Fato,De Fato 23,grc,"ἔτι δὲ τὸ ψεῦδος τῶν λεγομένων οὐ λόγων τινῶν οὐδὲ ἐλέγχων ἔξωθεν δεόμενον, ἀλλ’ αὐτόθεν γνώριμον. τίς γὰρ ἔλεγχος λόγου φανερώτερος τοῦ μὴ ἐφαρμόζειν τούτοις περὶ ὧν λέγεται; τὸ γοῦν πρῶτον εἰρημένον ὡς πάντων τῶν ὄντων αἰτίων τινῶν γινομέ"
concept_liberum_arbitrium_u3v4w5x6,Free Choice (Liberum Arbitrium),discusses Free Choice (Liberum Arbitrium)?,0.13,passage_aug_lib_arb_2_16_43,Augustine,De Libero Arbitrio,2.16.43,lat,"Vae qui derelinquunt te ducem, et oberrant in vestigiis tuis, qui nutus tuos pro te amant, et obliviscuntur quid innuas, o suavissima lux purgatae mentis sapientia! non enim cessas innuere nobis quae et quanta sis; et nutus tui sunt omne cr"
concept_endechomenon_contingent_aristotle_e5f6g7h8,To Endechomenon (Τὸ ἐνδεχόμενον),discusses To Endechomenon (Τὸ ἐνδεχόμενον)?,0.14,passage_alex_fat_8,Alexander of Aphrodisias,De Fato,De Fato 8,grc,"Λέγεται δὴ πρὸς ἁπάντων ἀνθρώπων κοιναῖς τε καὶ φυσικαῖς ἐννοίαις ἐμμενόντων ταῦτα ἀπὸ τύχης τε καὶ τοῦ αὐτομάτου γίνεσθαι, ἃ αἰτίαις ἄλλων τινῶν ποιητικαῖς προηγουμέναις ἐπιγίνεται. ὅταν γὰρ ἄλλου τινὸς χάριν γινομένῳ τινὶ μὴ τοῦτο ἀπαντήσ"
concept_endechomenon_contingent_aristotle_e5f6g7h8,To Endechomenon (Τὸ ἐνδεχόμενον),discusses To Endechomenon (Τὸ ἐνδεχόμενον)?,0.14,passage_alex_fat_31,Alexander of Aphrodisias,De Fato,De Fato 31,grc,"ἀλλ’ οὐδὲ ἀφαιρούμεθα τῶν ἀνθρώπων τὸ ἀπὸ μαντικῆς χρήσιμον, ὃ γίνεται τῷ δύνασθαί τινα καὶ φυλάξασθαί τι, μὴ φυλαξάμενον ἂν μὴ συμβουλεύσαντος τοῦ θεοῦ· οἱ δὲ ὑμνοῦντες τὴν μαντικὴν καὶ κατὰ τὸν αὐτῶν λόγον μόνον σώζεσθαι λέγοντες αὐτήν, κ"
concept_akousion_involuntary_aristotle_b2c3d4e5,Akousion (Ἀκούσιον),discusses Akousion (Ἀκούσιον)?,0.14,passage_arist_en_3_1,Aristotle,Ethica Nicomachea,"Arist. EN III.1, 1109b30-1111b3",grc,δοκεῖ δὴ ἑκούσιον εἶναι οὗ ἡ ἀρχὴ ἐν αὐτῷ εἰδότι τὰ καθ' ἕκαστα ἐν οἷς ἡ πρᾶξις.
concept_endechomenon_contingent_aristotle_e5f6g7h8,To Endechomenon (Τὸ ἐνδεχόμενον),discusses To Endechomenon (Τὸ ἐνδεχόμενον)?,0.14,passage_alex_fat_2,Alexander of Aphrodisias,De Fato,De Fato 2,grc,"Τὸ μὲν οὖν εἶναί τι τὴν εἱμαρμένην καὶ αἰτίαν εἶναι τοῦ γίνεσθαί τινα κατ’ αὐτὴν ἱκανῶς ἡ τῶν ἀνθρώπων συνίστησιν πρόληψις (οὐ γὰρ κενὸν οὐδ’ ἄστοχον τἀληθοῦς ἡ κοινὴ τῶν ἀνθρώπων φύσις, καθ’ ἣν περί τινων ὁμοδοξοῦσιν ἀλλήλοις, ὅσοι γε αὐτῶ"
