node_id,label,type,period,p_curator_notes,description_excerpt
concept_self_happiness_alex,Self-Achieved Happiness (Alexander),concept,Roman Imperial,0.94,Being happy through oneself: self-produced flourishing achieved through one's own virtuous activity. (Le syntagme « δι᾽ αὑτῶν εὐδαιμονεῖν » n'est attesté nulle part chez Alexandre — recherche TLG négative — et εὐδαιμονεῖ
pub_furst_2021_perspectives_origen_ad21,Fürst (ed.) 2021 — Perspectives on Origen and the History of his Reception (Adamantiana 21),publication,Modern,0.94,"Alfons Fürst (ed.), *Perspectives on Origen and the History of his Reception*, Münster: Aschendorff, 2021, Adamantiana 21, 368 p. CC BY-NC-ND (OA complet sur OAPEN, financement EU Marie Skłodowska-Curie n°676258). **Volu"
synthesis_amand1945_philo_de_providentia_witness_n1_status,"Amand 1945 — Statut philologique du témoin n°1 (Philon, De prov. I, 79-87) : préservation arménienne",synthesis,,0.94,"Philological synthesis of Amand 1945 (p. 91, 93-95, ll. 5710-5917) on the status of witness no. 1. (a) The original Greek text of Philo's De providentia is almost entirely lost; (b) only the Mekhitarist Armenian translat"
argument_deliberation_alex,Legacy reconstruction (discovery only): Deliberation Argument (Alexander),argument,Roman Imperial,0.93,"Dialectical deliberation cluster, discovery only. De fato 11-12 appeals to deliberation and what depends on us. Sharples treats the surrounding argument as polemical and does not infer an ultimate or uncaused agent. The "
scholarly_argument_frick_divine_providence_and_moral_re_0,Frick: Philo rejects astral fatalism because it renders absurd the notion of moral resp,argument,Contemporary,0.93,Faithful as written; only the page of the quote_verbatim is wrong.
scholarly_work_sorabji_2017_freedom_and_will_graeco_roman_origins,Sorabji 2017 — Freedom and Will: Graeco-Roman Origins,publication,Contemporary,0.93,"Richard Sorabji, 'Freedom and Will: Graeco-Roman Origins', ch. 3 (pp. 49-66) in R. Seaford, J. Wilkins and M. Wright (eds.), *Selfhood and the Soul: Essays on Ancient Thought and Literature in Honour of Christopher Gill*"
scholar_zingano_marco,Marco Zingano,person,Contemporary,0.92,"Marco Zingano, a Brazilian philosopher and professor at the Universidade de São Paulo (USP). A specialist in Aristotle and Alexander of Aphrodisias. Author of several studies on Aristotelian ethics and the theory of acti"
scholarly_argument_blackson_e_vs_d_object_of_choice,"Blackson: Frede mis-specifies the object of choice — adults choose to EXERCISE the ability to use impressions (E), not choose to ASSENT (D); on E, the early Stoics probably already had a notion of a will",argument,Modern,0.92,Blackson ASSERTS that Frede's 'minimum belief' for a Stoic notion of a will misidentifies the object of choice. Frede's proposition D: adults choose to assent to impulsive impressions. Blackson's proposition E: adults ch
pub_harrison_2006_rethinking_augustines_early_theology,Harrison 2006 — Rethinking Augustine's Early Theology: An Argument for Continuity,publication,Contemporary,0.92,"Carol Harrison, Rethinking Augustine's Early Theology: An Argument for Continuity, Oxford: Oxford University Press, 2006. The standard continuity reading, directed against the rupture account: Barclay 2015 n. 17 summaris"
argument_saving_teaching_alex,Legacy reconstruction (discovery only): Saving Teaching Argument (Alexander),argument,Roman Imperial,0.91,"Practical-risk argument cluster, discovery only. De fato 16-21 gives polemical consequences for human practices. Sharples calls chapter XXI a tour de force comparable to Pascal's wager, not a demonstrated metaphysical pr"
concept_cyclical_return_great_year,Cyclical Return (Great Year),concept,Hellenistic,0.91,"The doctrine that all events repeat exactly in cosmic cycles. When all celestial bodies return to their original positions (the ""Great Year""), history begins anew with numerically identical events. PS.-PLUTARCH (De Fato "
concept_inner_freedom_alex,Inner Freedom (Inviolability of Choice),concept,Roman Imperial,0.91,"Greek terminology: • ""no one can take away"": the inner act of choice cannot be seized by another (no verbatim Greek formulation attested in Alexander's De Fato; the motif is a Stoic topos at home in Epictetus, Dissertati"
person_cyril_alexandria,Cyril of Alexandria,person,Late Antiquity,0.91,"Patriarch of Alexandria (412-444), champion of Christological orthodoxy. Developed what modern scholars characterize as a compatibilist theodicy: divine prescience ≠ predetermination. Unique formula: τῶν ἰδίων θελημάτων "
person_paul_apostle,Paul the Apostle,person,Second Temple Judaism,0.91,"Paul of Tarsus (c. 5 – c. 64/67 CE), apostle, author of the authentic Pauline epistles (Rm, 1-2 Co, Ga, Ph, 1 Th, Phm). A central figure for hypothesis H1 of the thesis: divine/human agency, grace, and the Pauline 'I' (R"
scholarly_work_nagasawa_2013_human_free_will_and_god_s_grace_in_the_e,Nagasawa 2013 — Human Free Will and God's Grace in the Early Church Fathers,publication,Contemporary,0.91,"Mako A. Nagasawa, 'Human Free Will and God's Grace in the Early Church Fathers' (New Humanity Institute, 2013). A patristic survey arguing that the early Fathers — Justin (1 Apol. 43-44, against heimarmene: if all happen"
work_firmicus_mathesis,"Iulius Firmicus Maternus, Mathesis (8 livres)",work,Late Antiquity,0.91,"Latin astrological summa in 8 books composed by Iulius Firmicus Maternus, a Roman senator, under the reign of Constantine (c. 334–337). According to Amand 1945 (Book I ch. VII, p. 178-188), it is ""this imposing treatise "
argument_carter_2024_second_fatalist_argument,"Carter: reconstruction of Aristotle's second fatalist argument (DI 9, 18b9-16)",argument,Modern,0.9,"Carter reconstructs the stronger, second fatalist argument (DI 9, 18b9-16), which introduces two further bridging principles: Eternal Truth (TPFp -> HTFp, 'if it was the case that it would be the case that p, it has alwa"
argument_origen_witness_diss_argos_logos_refutation_amand1945,Origène — Réfutation de l'Argos Logos via prophéties Judas/Œdipe (Amand 1945),argument,Patristic,0.9,"Amand (p. 311): The compilers of the Philocalia appended to the discussion of foreknowledge a copious quotation from Contra Celsum II.20 (sections 12-13 of Philocalia 23, Robinson p. 199-201). There Origen shows how divi"
scholarly_argument_hildebrandt_traditional_lazy_argument_three_versions,Hildebrandt: Alexander's first two Lazy Arguments (uselessness of deliberation / of effort) are unconvincing,argument,Modern,0.9,"Hildebrandt distinguishes Alexander's first two Lazy-Argument versions: De fato XI concerns the uselessness of deliberation, while XVI concerns the uselessness of effort. The distinction is textually anchored but reporte"
scholarly_argument_meyer_epicurean_freedom_from_determi_4,"Meyer: Epicurus rejects fate as a 'mistress' (Men. 133), not as the modern compatibility question",argument,Contemporary,0.9,"Epicurus on fate — what Meyer actually argues. Epicurus does say (Letter to Menoeceus 133) that the wise person will reject fate, but — on Meyer's reading — he is NOT addressing the modern question whether the 'ability t"
person_melito_sardis,Melito of Sardis,person,Roman Imperial,0.9,"Bishop of Sardis (fl. c. 160–180 CE), listed by Eusebius (HE IV.26) among the most prolific second-century Christian writers. His sole surviving complete work, the Peri Pascha, was rediscovered by Campbell Bonner in 1940"
pub_rist_1969_augustine_free_will_predestination,Rist 1969 — Augustine on Free Will and Predestination,publication,Contemporary,0.9,"John M. Rist, 'Augustine on Free Will and Predestination', Journal of Theological Studies N.S. 20 (1969), 420-47; reprinted in R. A. Markus (ed.), Augustine: A Collection of Critical Essays, Garden City, NY: Doubleday, 1"
scholarly_argument_andresen_sin_and_grace_in_justin_s_theo_3,Andresen: The problem of sin and grace plays no role in Justin's theology; Justin does not,argument,Contemporary,0.89,In his conclusion Andresen observes that 'the question is all the more to be raised because the problem of sin and grace plays no role in Justin's theology' (p. 195). The extraction preserves only this sentence; the infe
scholarly_work_breytenbach_2023_early_christianity_in_athens_attica_and_,"Breytenbach 2023 — Early Christianity in Athens, Attica, and Adjacent Areas: From Paul to Justinian",publication,Contemporary,0.89,"Early Christianity in Athens, Attica, and Adjacent Areas: From Paul to Justinian I (1st–6th cent. AD), by Cilliers Breytenbach and Elli Tzavella (Brill, 2023); to be cited as Breytenbach & Tzavella 2023, not Breytenbach "
argument_human_dignity_alex,Human Dignity Argument (Alexander),argument,Roman Imperial,0.88,Premise 1: Human dignity (axiōma) consists in being self-determining (autexousioi) Premise 2: This distinguishes us from irrational animals who are not blamed Premise 3: We are blamed because we are capable of doing othe
argument_irenaeus_recapitulation_theodicy,Irenaeus' Recapitulation Theodicy (AH III.18-20),argument,Patristic,0.88,"Christ's recapitulation as solution to human incapacity. Structure: (1) Problem: After the fall, humans ""fell under the power of sin"" (AH III.18.2; Book III is preserved in Latin translation). (2) Human INCAPACITY: ""Thos"
argument_pseudo_chrysostom_de_fato_v_apologetic_amand1945,Pseudo-Chrysostom De Fato V — heimarmene comme barbarie injuste,argument,Late Antiquity,0.88,"Pseudo-Chrysostom’s argument in Discourse V (8th argument according to Amand, PG 50, 767-768): heimarmene is doubly absurd and barbarous—it compels human beings towards vice, then demands their punishment for the faults "
argument_origen_witness_carneades_transposition_theological_consequences_amand1945,"Origène (transposant Carnéade) — Conséquences théologiques : vanité du Christ, des Apôtres, de l'Économie (Amand 1945)",argument,Patristic,0.88,"Amand (p. 321): Origen then develops the series of theological, impious, and blasphemous consequences of astrological fatalism (Phil. 23.1, Robinson p. 188,5-16). Text cited by Amand: “Christian faith becomes vain, Chris"
scholarly_argument_de_monneron_epicurean_indeterminism_and_fr_1,DE MONNERON: Epicurus already conceived an idea similar to event-causal libertarianism by ass,argument,Contemporary,0.88,"Faithful as written; the quote_verbatim belongs to p. 343 (chapter on chance and indeterminism), the description to pp. 7-8."
scholarly_argument_engberg_pedersen_determinism_and_fate_in_stoic__1,Engberg-Pedersen: Stoic ethics must be studied as a comprehensive philosophical system rather than,argument,Contemporary,0.88,"Engberg-Pedersen presents the I→X→S model as 'the basic logical shape' of Paul's and of Stoic 'anthropology' and 'ethics' (p. 33), and insists that Stoic ethics be studied 'as a comprehensive philosophical system', 'not "
person_hillel_elder_m3n4o5p6,Hillel the Elder,person,Second Temple Judaism,0.88,"Leading Pharisaic sage (1st c. BCE–1st c. CE), founder of the House of Hillel. (NB: the maxim 'All is foreseen, yet free will is given', Mishnah Avot 3:15, belongs to R. Akiva, not Hillel.) Emphasized human responsibilit"
synthesis_amand1945_carneadean_dual_polemic_distinction,Amand 1945 — Distinction structurelle : polémique antiastrologique vs polémique antifataliste morale chez Carnéade,synthesis,,0.88,"Amand’s structural thesis (1945, p. 49 and p. 62): Carneades’ polemic against Chrysippus and the astrologers comprises ""two series of arguments"" that are technically distinct and must not be conflated. Amand’s statement "
pub_huby_1991_review_donini_ethos,"Huby 1991 — Review of Donini, Ethos: Aristotele e il determinismo",publication,Contemporary,0.87,"Huby, P.M. (1991). Review of Pier Luigi Donini, Ethos: Aristotele e il determinismo (Alessandria, Edizioni dell'Orso, 1989). The Classical Review, 41/2, pp.370-371. Two-page review. The PDF mislabelled in DOCTORAT as Don"
pub_lienemann_2012_review_frede,"Lienemann 2012 — Review of M. Frede, A Free Will (Sather, 2011) — BPJAM 15",publication,Modern,0.87,"Béatrice Lienemann, recension critique de Michael Frede, *A Free Will. Origins of the Notion in Ancient Thought* (University of California Press, 2011), parue dans *Bochumer Philosophisches Jahrbuch für Antike und Mittel"
pub_hadot_1992_citadelle_interieure,Hadot 1992 — La Citadelle intérieure. Introduction aux Pensées de Marc Aurèle,publication,Modern,0.87,"Pierre Hadot, *La Citadelle intérieure. Introduction aux Pensées de Marc Aurèle*, Paris: Fayard, 1992 (rééd. 1997, 2002 LGF Poche), ISBN 978-2-213-02984-9. Hadot's masterwork, the culmination of more than twenty years of"
argument_origen_witness_diss_problem4_angelic_knowledge_amand1945,Origen — Problem 4: Knowledge of Signs Reserved for Angels (Amand 1945),argument,Patristic,0.86,"Amand (p. 315-316): Problem 4 — Exact knowledge of the stars and of the events signified is accessible only to Powers superior to humankind, to angels. God created the luminaries as signs for the benefit of his angels. F"
pub_sytsma_2020_universal_salvation_origen,Sytsma 2020 — Universal Salvation and Freedom of Choice according to Origen of Alexandria,publication,Modern,0.86,"Sytsma's 2018 Marquette dissertation 'Reconciling Universal Salvation and Freedom of Choice in Origen of Alexandria' (no. 769), the only verifiable object behind this record; the claimed 2020 Gorgias Press monograph is u"
pub_benjamins_1994_eingeordnete_freiheit,Eingeordnete Freiheit. Freiheit und Vorsehung bei Origenes,publication,Contemporary,0.86,"H. S. Benjamins, Eingeordnete Freiheit. Freiheit und Vorsehung bei Origenes (SVigChr 28), Leiden: Brill, 1994. Reported thesis, on the converging testimony of three held witnesses: freedom and providence are the systemat"
argument_philo_de_providentia_ethnic_customs_amand1945,"Deuxième argument antifataliste du Περὶ προνοίας I, 84-86 — coutumes ethniques (νόμιμα βαρβαρικά)",argument,Hellenistic,0.85,"Second of the four anti-fatalist arguments that Philo, in Περὶ προνοίας I, 84-86, turns against genethlialogical apotelesmatics (Amand p. 85, ll. 5403-5419). Argument: regardless of age, sex, or social class, all individ"
scholarly_argument_telfer_new_testament_and_autexousia_7,Telfer: The notion of autexousia as a prerogative of all men is abundantly present in Sc,argument,Contemporary,0.85,"Telfer asserts that the idea of autexousia was 'not original with Justin': 'The notion of autexousia as a prerogative of all men is so abundantly present in scripture, and particularly in the New Testament, that it is an"
person_pseudo_chrysostom_de_fato,Pseudo-Chrysostom (De Fato et Providentia),person,Late Antiquity,0.85,"Pseudo-John Chrysostom, anonymous author of the Discourse on Fate and Providence V (PG 50, 765-768) — one of the six Discourses on Fate and Providence transmitted under the name of John Chrysostom (PG 50, 749-774). For A"
pub_sharples_alberti_1999_aspasius,Aspasius: The Earliest Extant Commentary on Aristotle's Ethics,publication,Contemporary,0.85,"Antonina Alberti and R.W. Sharples (eds.), Aspasius: The Earliest Extant Commentary on Aristotle's Ethics (Peripatoi 17; Berlin: De Gruyter, 1999), 208 pp. SIGNIFICANCE: First scholarly volume dedicated to Aspasius (fl. "
collection_ls,"Long & Sedley, The Hellenistic Philosophers",source_collection,Contemporary,0.85,"Long and Sedley's two-volume reference work. Volume 1 supplies English translations and philosophical commentary; volume 2 supplies Greek and Latin texts, notes, selective apparatus and bibliography. Page numbers are vol"
argument_eus_carneadean_pe_vi_6_arg5_laws_abolition,"Eusebius PE VI.6.18: Carneadean Arg 5 — Laws, punishments, rewards abolished",argument,Late Antiquity,0.85,"Fifth Carneadean argument (PE VI.6.18): absolute fatalism logically entails the abolition of established laws, as well as the elimination of punishments and rewards. 'For what is there to command or prohibit individuals "
scholarly_argument_moon_patristic_predestinarianism_an_0,Moon: The patristic predestinarian approach to Romans 9:6-13 was indebted to influence,argument,Contemporary,0.84,"Moon (thesis point 2): 'all interpreters took 9:6-13 as a passage about the predestination of individuals'; asking whether such a reading is 'inevitable for any reader', he argues that 'the earliest interpreters of Paul "
work_pseudo_chrysostom_de_fato_providentia,"Pseudo-John Chrysostom, De Fato et Providentia (Discourses on Fate and Providence)",work,Late Antiquity,0.84,"Les Six Discours sur le Destin et la Providence (Peri heimarmenes te kai pronoias logoi hex) as attributed to Pseudo-Chrysostom for the purposes of witness no. 6 in Amand 1945 — particularly Discourse V (PG 50, 765 l.24 "
pub_teselle_1970_augustine_the_theologian,TeSelle 1970 — Augustine the Theologian,publication,Contemporary,0.84,"Eugene TeSelle, Augustine the Theologian, New York: Herder and Herder, 1970. Reported position, from Wetzel 1992 p. 198 (n. 75 referring to TeSelle p. 291): 'TeSelle develops a critique very similar to Burnaby's. He view"
work_tertullian_de_anima,"Tertullian, De Anima",work,Roman Imperial,0.84,"Tertullian's De Anima (c. 210–213 CE; ed. Waszink, CCSL 2) is a treatise in 58 chapters and the earliest systematic Latin work on the soul. It addresses the soul's origin (traducianism vs. creationism), nature, and desti"
argument_bobzien_2001_b1_epictetus_developmental_freedom,Bobzien 2001 — Epictetus develops (but does not invent) the Stoic notion of freedom,argument,Contemporary,0.83,"Argument of Bobzien 2001 ch. 7 (p. 330-357): Epictetus develops the Stoic notion of freedom (eleutheria) as moral perfection and self-mastery, but DOES NOT INVENT freedom in the libertarian sense. (1) Continuity with the"
concept_autexousion_pe_vi_6_eusebius,Autexousion as immediate evidence (Eusebius PE VI.6.21),concept,Patristic,0.83,"Eusebian articulation of αὐτεξούσιον (αὐθεκούσιον) as immediate evidence on a par with sensation. The quotation is available here only in translation, since the corresponding Greek text could not be collated: 'Thus, the "
concept_kleronomia_tois_teknois,Κληρονομία τοῖς τέκνοις - Inheritance to the Children,concept,Patristic,0.83,"Melito's term for the transmission of Adam's fall. Greek: κληρονομία τοῖς τέκνοις αὐτοῦ (klēronomia tois teknois autou, ""inheritance to his children""). From Pasch. 49: Adam ""left an inheritance to his children"": not free"
synthesis_amand1945_carneades_anticipation_modern_thought,Amand 1945 — Carnéade « Hume de l'antiquité » et anticipation des formes modernes de la pensée,synthesis,,0.83,"Amand’s historiographical judgement (1945, p. 43-44 and 45 note 3): ""Through its critical interpretation of certainty and its pragmatist conception of moral conduct, Carneadean philosophy anticipates the most modern form"
work_calcidius_in_timaeum,"Calcidius, Commentarius in Platonis Timaeum",work,Late Antiquity,0.83,"Calcidius (Chalcidius), Commentarius in Platonis Timaeum, a Late Antique Latin translation-commentary conventionally dated to the fourth century, although the author's precise date, religious affiliation and philosophica"
argument_furst_2022_middle_platonist_origin_autexousion,Origine médio-platonicienne du concept d'autexousion (Fürst 2022),argument,Modern,0.82,"Fürst 2022's thesis (Kap. III 3b, p. 126-132): the Middle Platonists (Plutarch, ps.-Plutarch De Fato, Alcinous Didask. 26, Apuleius De Platone I 12, Maximus of Tyre) develop, against Stoic compatibilism, the doctrine of "
argument_favorinus_moral_proof_via_gellius_amand1945,"Dixième argument de Favorinus (preuve morale antifataliste) — Aulu-Gelle NA XIV, 1, 23",argument,Roman Imperial,0.81,"Argument 10 of Favorinus according to Aulus Gellius NA XIV, 1, 23 (Amand p. 100, ll. 6129-6145): ""Moreover, what he considered absolutely intolerable was that [the Chaldeans] claimed to subject to the regulation and infl"
argument_moral_assessment_alex,Legacy reconstruction (discovery only): Moral Assessment Argument (Alexander),argument,Roman Imperial,0.81,"Moral-assessment reconstruction, discovery only. De fato 19-20 and 26-29 connect assessment with choice and character, but Sharples finds a regress concerning responsibility for character and no completed causal explanat"
scholarly_argument_bobzien_eph_hemin_what_depends_on_us_3,Bobzien: Two conceptions of eph' hemin must be distinguished: the one-sided causative con,argument,Contemporary,0.81,"Bobzien (1998, pp. 139-141) distinguishes two senses of the Greek 'depending on someone': a 'one-sided, causative' concept ('attributable to us', naming who bears causal responsibility — the Stoic use) and a 'two-sided, "
concept_acting_final_cause,Acting Final Cause (Providence),concept,Patristic,0.81,"Clement's innovation (a modern interpretative label, not a term of Clement's own, and as yet without an established secondary source): Providence fuses Stoic efficient causality + Aristotelian teleology + Platonic transc"
synthesis_amand1945_firmicus_absolute_fatalism_doctrine,"Amand 1945 — Fatalisme absolu professé par Firmicus (Mathesis I, 9, 2-3)",synthesis,,0.81,"Summary of Amand 1945 (Book I ch. VII §I.3, p. 180, ll. 10272-10310). Amand establishes unequivocally that Firmicus is ""an enthusiastic and convinced adherent of absolute fatalism in its astrological form"": the texts abo"
work_philo_de_providentia,"Philo, De Providentia",work,Roman Imperial,0.81,"Philo of Alexandria, De providentia (Περὶ προνοίας), an early treatise in two books, preserved almost in its entirety in the Armenian translation by the Mekhitarist J.-B. Aucher (Venice, Saint-Lazare, 1822, vol. I, p. 1-"
work_tatian_oratio,Oration to the Greeks (Λόγος πρὸς Ἕλληνας),work,Patristic,0.81,"Tatian's Oratio ad Graecos is preserved here through a pinned Otto 1851 Perseus Greek manifestation. Direct loci relevant to agency are SAPERE 7.2, 7.3, 8.1, 9.3, 11.4, and 15.9. Modern claims about post-lapsarian freedo"
pub_brown_1967_augustine_of_hippo,Brown 1967 — Augustine of Hippo: A Biography,publication,Contemporary,0.81,"Peter Brown, Augustine of Hippo: A Biography, Berkeley: University of California Press, 1967 (rev. ed. 2000). The reading commonly labelled the 'rupture' account of Augustine on free will: the answer to the second questi"
argument_carneadean_legislation_amand1945,Argument carnéadien II — La législation et la répression pénale sont absurdes (futility of legislation),argument,Hellenistic,0.8,"Deuxième des six titres argumentatifs reconstruits par Amand (1945, p. 574-576). Énoncé d'Amand : « Dans l'hypothèse du fatalisme astrologique, la législation et la répression pénale sont inutiles et doivent être supprim"
scholarly_argument_engberg_pedersen_free_will_and_moral_agency_in__0,"Engberg-Pedersen: Paul's thought can be understood through a shared 'I→X→S' model with Stoicism, w",argument,Contemporary,0.8,"Engberg-Pedersen's I→X→S model (p. 33) is a 'heuristic' abstraction stating 'the basic logical shape' of Pauline and Stoic 'anthropology' and 'ethics', 'identical with neither' but including 'an extensive area of overlap"
scholarly_argument_o_keefe_o_keefe_s_personal_position_on_3,"O'Keefe: O'Keefe believes Epicurus is a reductionist but not a compatibilist, though he d",argument,Contemporary,0.8,O'Keefe (n. 3): showing that On Nature 25 is consistent with reductionism and determinism 'does not show that Epicurus is either a reductionist or a compatibilist'; 'for the record' he believes Epicurus is a reductionist
argument_carneadean_general_theme_amand1945,Argument carnéadien I — Thème général : le fatalisme bouleverse la vie morale (general moral collapse),argument,Hellenistic,0.79,"First of the six argumentative headings reconstructed by Dom David Amand de Mendieta (1945, p. 573-574). Framing argument: ""The logical consequence of the denial of free will and the acceptance of absolute fatalism in th"
argument_chance_cosmos_middle_platonist,Chance Cosmos Argument (Middle Platonist),argument,Roman Imperial,0.79,"The Middle Platonist argument that individuals are not absolutely fated because the cosmos itself is a product of chance. Structure (Boys-Stones 2007, pp. 440-441): (P1) God and pre-existing matter are separate substance"
scholarly_argument_telfer_justin_martyr_s_source_for_aut_1,Telfer: Justin's use of autexousia vocabulary and ideas likely derives from lost Helleni,argument,Contemporary,0.79,Telfer holds that Justin's employment of the adjective for universal human self-determination 'can hardly be original': there 'must have been known to him' a lost field of apologetic literature of Hellenized Judaism from
debate_lazy_argument,The Lazy Argument (Argos Logos / Ignava Ratio),debate,Hellenistic,0.79,"The Lazy Argument against fate-based determinism. Verified from Cicero De Fato 28-30 (database passages). Cicero (Fat. 28-29) calls it the ἀργὸς λόγος / 'ignaua ratio' (Lazy Reasoning): if everything is by fate, action i"
pub_andresen_1953_justin_platonismus,Justin und der mittlere Platonismus,publication,Contemporary,0.79,"MODERN SCHOLARSHIP: Carl Andresen (Kiel), 'Justin und der mittlere Platonismus,' Zeitschrift für Neutestamentliche Wissenschaft 44 (1952-53), pp. 157-195. [Published in German.]  MAIN Thesis: Justin Martyr belongs philos"
work_alexander_ethica_problemata,Ethica problemata (Ἠθικὰ προβλήματα),work,Roman Imperial,0.79,"Collection of short ethical discussions transmitted under Alexander of Aphrodisias' name (school material, authenticity debated — hence [Sp.] in the TLG canon). Several problems treat the voluntary, choice, and what is u"
argument_phalaris_alex,Phalaris Argument,argument,Roman Imperial,0.78,"Argument: EVEN PHALARIS WOULDN'T BE SO CRUEL Alexander's reductio comparing determinist punishment to the legendary tyrant's cruelty. Premise: On determinism, humans act by nature like animals or objects. Premise: We don"
scholarly_argument_boys_stones_justin_martyr_as_middle_platon_7,Boys-Stones: Implicitly acknowledges Justin Martyr (1 Apology 43) belongs to Middle Platonist,argument,Contemporary,0.78,"Boys-Stones explicitly counts 'the Christian Justin' among the 'thinkers who provide evidence for the theory' of hypothetical fate, alongside Plutarch, Apuleius, Amelius and Alexander of Lycopolis (pp. 433-434); n. 9 ref"
work_aristotle_de_anima,"Aristotle, De anima",work,Classical Greek,0.78,"Aristotle, De anima. Work shell created from the live corpus so DB passages can be represented in the KG at passage level."
work_lucian_vita_demonactis,"Lucien, Vie de Démonax (Vita Demonactis)",work,Roman Imperial,0.78,"Life of Demonax (Δημώνακτος Βίος) by Lucian of Samosata, a sympathetic biography of the Cypriot Cynic philosopher Demonax. For Amand 1945 (Book I ch. IV §I, p. 128-129), the sole source of information on this well-bred C"
pub_scheck_2008_origen_history_justification,Scheck 2008 — Origen and the History of Justification,publication,Contemporary,0.78,"Thomas P. Scheck, Origen and the History of Justification: The Legacy of Origen's Commentary on Romans (University of Notre Dame Press, 2008); selectively read for the Commentary on Romans, free choice, grace, and merit."
